"Player" "Pos" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17"
"A.J. Derby" "TE" 1.73 1.73 2.65 0 0 0 0 0 1.77 2.63 NA 2.1 1.74 2.25 1.57 1.74 1.67
"A.J. Green" "WR" 12.65 10.69 11.96 9.6 11.17 11.93 12.36 13.24 NA 12.39 8.69 8.45 11.88 12.21 13.43 8.26 10.38
"A.J. McCarron" "QB" 0.54 0.5 0.63 0.61 0.57 0.58 NA 0.83 0.76 0.79 0.68 0.56 0.87 0.72 0.83 0.75 0.82
"Aaron Jones" "RB" 0 0 5.42 5.58 8.76 7.16 NA 5.88 6.6 7.69 5.39 5.53 6.55 7.52 5.6 6.04 7.56
"Aaron Rodgers" "QB" 22.36 19.52 20.7 22.61 21.59 21.89 NA 23.08 20.96 23.44 18.16 18.47 21.71 22.76 18.63 18.87 22.68
"Adam Humphries" "WR" 2.14 2.32 2.2 3.92 NA 3.72 3.57 2.62 3.23 2.8 3.05 3.14 3.34 3.55 2.49 2.79 3.07
"Adam Shaheen" "TE" 0 0 0 0 NA 0 0 0.5 0.52 0.58 0.56 0.55 0.54 0.62 0.6 0.62 0.53
"Adam Thielen" "WR" 11.05 10.03 11.35 9.78 12.27 13.17 14.47 15.43 14.83 NA 14.19 14.12 12.47 12.96 15.56 14.34 14.73
"Adrian Peterson" "RB" 3.71 9.35 9.32 NA 9.69 11.34 11.45 11.6 13.33 11.98 12.23 10.94 11.16 12.46 11.3 11.67 12
"Alan Cross" "TE" 0.67 0.57 0.54 0.49 NA 1.06 0.44 0.57 0.61 0.62 0.57 0.64 0.64 0.7 0.47 0.67 0.76
"Albert Wilson" "WR" 4.01 3.73 4.78 4.57 5.13 4.96 6.43 0 0 0 NA 0 0 0 0 0 0
"Aldrick Robinson" "WR" NA NA 0.5 0.43 2.13 0.51 0.54 0.79 0.71 NA 0.59 0.68 0.59 0.55 0.73 0.69 0.61
"Alex Armah" "RB" 0.69 0.61 0.63 NA 0.59 0.39 0.3 0.69 1.07 1.02 1.1 0.72 0.96 0.71 1.1 1.22 0.99
"Alex Collins" "RB" 10.28 8.1 9.93 9.97 7.62 5.99 10.35 10.49 10.01 NA 11.78 12.36 11.43 11.67 11.77 10.48 8.11
"Alex Erickson" "WR" 0.47 0.5 0.79 0.82 1.26 1.07 1.48 0.9 NA 0.41 0.43 0.34 0.43 0.43 0.38 0.34 0.43
"Alex Smith" "QB" 14.97 20.24 18.71 NA 19.7 19.02 16.03 16.85 19.08 19.61 19.35 15.17 13.2 17.84 11.82 16.69 13.97
"Alex Tanney" "QB" 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"Alfred Blue" "RB" 3.38 2.71 4.54 4.98 8.86 6.58 5.31 4.67 3.88 NA 4.33 4.74 3.81 5.06 4.32 4.06 4.36
"Alfred Morris" "RB" 5.23 7.48 8.35 6.96 6.2 6.73 3.74 5.54 5.84 4.5 NA 4.39 4.83 5.35 5.28 5.03 5.29
"Allen Hurns" "WR" 4.5 4.92 4.66 4.73 4.9 4.48 3.64 NA 2.13 2.61 2.7 2.75 3.05 2.7 2.68 3.2 2.02
"Allen Robinson" "WR" 8.56 8.46 8.4 7.7 NA 8.03 7.2 6.9 6.45 7.49 7.58 7.14 6.62 6.88 6.85 6.93 7.23
"Alshon Jeffery" "WR" 0 0 0 3.85 9.19 9.03 10.67 10.99 NA 10.58 11.23 10.6 10.1 10.16 10.97 11.17 9.68
"Alvin Kamara" "RB" 19.29 18.49 16.06 17.7 17.45 NA 13.68 14.82 18.93 17.57 16.18 17.1 15.38 15.6 16.86 16.74 18.15
"Amari Cooper" "WR" 8.35 8.45 8.25 10.1 9.01 7.5 NA NA 8.5 6.37 8.24 6.93 9.31 6.5 7.42 9.7 8.18
"Ameer Abdullah" "RB" 0 0 1.71 0 2.31 NA 1.6 1.63 0.94 0.93 0.9 0.97 0.87 0.79 0.81 0.98 1.09
"Andre Holmes" "WR" 0.97 0.44 0.45 0.53 0.39 2.02 2.46 2.73 1.65 1.97 NA 1.62 2.57 2.06 2.89 2.62 2.67
"Andre Roberts" "WR" NA NA 0.43 0.26 0.27 0.24 0.58 0.5 0.25 0.22 NA 0.28 0.27 0.21 0.29 0.23 0.28
"Andrew Luck" "QB" 18.05 15.88 14.26 18.38 16.92 15.45 18.69 21.61 NA 15.59 20.14 21.03 14.87 19.57 19.04 20.14 19.05
"Andy Dalton" "QB" 18.67 12.73 13.15 18.63 18.71 17.1 19.76 21.6 NA 22.33 14.08 13.34 17.48 18.9 23.07 12.79 16.75
"Andy Janovich" "RB" 0.84 0.85 1.25 1.01 1.34 1.31 1.49 1.16 1.42 NA 1.4 1.31 1.2 1.36 1.17 1.41 1.52
