"Week" "Player" "range" "pts_all" "sacks" "INT" "fum" "SAF" "TD" "rnk" "max" "min" "std" "Var" "pts_all_grp" "pts_all_score" "yrds_est" "yrds_all_grp" "yrds_all_score" "Full_Proj"
"14" "Jets D/ST" "6.89-20.13" 12.83 3.51 1.38 0.82 0.02 0.38 "#32" 20.13 6.89 6.62 43.8244 3 3 296.716 3 2 15.23
"14" "Bills D/ST" "4.52-20.04" 11.75 3.35 1.08 0.9 0.02 0.26 "#29" 20.04 4.52 7.76 60.2176 3 3 291.1 3 2 13.91
"17" "Ravens D/ST" "5.04-20.08" 13.37 3.31 1.18 0.96 0.02 0.32 "#30" 20.08 5.04 7.52 56.5504 3 3 299.524 4 0 12.55
"3" "Vikings D/ST" "4.71-16.87" 12.51 2.32 0.89 0.71 0.05 0.32 "#32" 16.87 4.71 6.08 36.9664 3 3 295.052 3 2 12.54
"2" "Rams D/ST" "6.96-19.84" 15.35 3.54 1.5 0.92 0.04 0.42 "#31" 19.84 6.96 6.44 41.4736 4 1 309.82 4 0 11.98
"12" "Bills D/ST" "5.04-19.72" 16.37 3.42 1.24 1.06 0.04 0.36 "#28" 19.72 5.04 7.34 53.8756 4 1 315.124 4 0 11.26
"1" "Ravens D/ST" "6.47-17.25" 16.72 3.11 1.56 0.66 0.1 0.35 "#32" 17.25 6.47 5.39 29.0521 4 1 316.944 4 0 10.85
"12" "Jaguars D/ST" "6.05-18.27" 14.22 3.01 1.38 0.86 0.02 0.32 "#32" 18.27 6.05 6.11 37.3321 4 1 303.944 4 0 10.45
"13" "Bears D/ST" "5.21-17.23" 17.43 2.93 1.4 0.86 0.08 0.3 "#25" 17.23 5.21 6.01 36.1201 4 1 320.636 4 0 10.41
"1" "Jaguars D/ST" "5.18-19.26" 14.21 3.18 1.24 0.76 0.08 0.34 "#25" 19.26 5.18 7.04 49.5616 4 1 303.892 4 0 10.38
"5" "Ravens D/ST" "4.18-12.00" 13.34 1.66 0.7 0.45 0.04 0.2 "#30" 12 4.18 3.91 15.2881 3 3 299.368 3 2 10.24
"15" "Redskins D/ST" "5.34-16.72" 16.67 3.04 1.16 0.84 0.04 0.32 "#28" 16.72 5.34 5.69 32.3761 4 1 316.684 4 0 10.04
"12" "Eagles D/ST" "4.97-17.77" 17.69 3.09 1.48 0.9 0.04 0.34 "#25" 17.77 4.97 6.4 40.96 5 0 321.988 4 0 9.97
"16" "Patriots D/ST" "3.98-17.44" 16.55 2.97 1.1 0.9 0 0.3 "#32" 17.44 3.98 6.73 45.2929 4 1 316.06 4 0 9.77
"16" "Rams D/ST" "5.06-17.46" 15.17 2.77 1.26 0.98 0.08 0.22 "#31" 17.46 5.06 6.2 38.44 4 1 308.884 4 0 9.73
"15" "Broncos D/ST" "5.07-16.97" 14.78 3.34 1.2 0.78 0.02 0.22 "#30" 16.97 5.07 5.95 35.4025 4 1 306.856 4 0 9.66
"11" "Steelers D/ST" "5.34-14.96" 17.35 2.76 1.44 0.7 0.02 0.26 "#28" 14.96 5.34 4.81 23.1361 4 1 320.22 4 0 9.64
"17" "Seahawks D/ST" "3.03-18.47" 15.48 2.97 1.03 0.8 0.02 0.32 "#31" 18.47 3.03 7.72 59.5984 4 1 310.496 4 0 9.59
"1" "Vikings D/ST" "4.09-18.43" 15.49 2.9 1.18 0.72 0.04 0.3 "#27" 18.43 4.09 7.17 51.4089 4 1 310.548 4 0 9.58
"13" "Packers D/ST" "3.51-17.71" 20.42 2.77 1.44 0.78 0.02 0.38 "#31" 17.71 3.51 7.1 50.41 5 0 336.184 4 0 9.53
"12" "Chargers D/ST" "5.12-17.14" 14.22 2.99 1.2 0.8 0.02 0.24 "#31" 17.14 5.12 6.01 36.1201 4 1 303.944 4 0 9.47
"17" "Cowboys D/ST" "3.17-17.85" 19.67 2.72 1.39 0.78 0.04 0.38 "#25" 17.85 3.17 7.34 53.8756 5 0 332.284 4 0 9.42
"14" "Panthers D/ST" "4.78-17.24" 15.53 2.58 1.26 0.74 0.06 0.28 "#30" 17.24 4.78 6.23 38.8129 4 1 310.756 4 0 9.38
"1" "Seahawks D/ST" "4.13-16.29" 16.34 3.02 1.16 0.72 0.02 0.26 "#17" 16.29 4.13 6.08 36.9664 4 1 314.968 4 0 9.38
"13" "Seahawks D/ST" "4.66-17.08" 15.3 3.02 1.14 0.88 0.06 0.2 "#27" 17.08 4.66 6.21 38.5641 4 1 309.56 4 0 9.38
"15" "Seahawks D/ST" "4.66-17.08" 15.3 3.02 1.14 0.88 0.06 0.2 "#27" 17.08 4.66 6.21 38.5641 4 1 309.56 4 0 9.38
"10" "Chiefs D/ST" "2.03-17.59" 22.94 3.1 1.32 1.08 0.05 0.22 "#31" 17.59 2.03 7.78 60.5284 5 0 349.288 4 0 9.32
"12" "Browns D/ST" "2.68-17.56" 21.05 2.7 1.4 0.76 0 0.38 "#16" 17.56 2.68 7.44 55.3536 5 0 339.46 4 0 9.3
"16" "Browns D/ST" "2.68-17.56" 21.05 2.7 1.4 0.76 0 0.38 "#16" 17.56 2.68 7.44 55.3536 5 0 339.46 4 0 9.3
"1" "Redskins D/ST" "4.97-16.75" 17.6 2.79 1.46 0.53 0.02 0.37 "#31" 16.75 4.97 5.89 34.6921 5 0 321.52 4 0 9.03
"14" "Broncos D/ST" "4.35-14.83" 16.93 2.42 1.44 0.7 0.06 0.2 "#27" 14.83 4.35 5.24 27.4576 4 1 318.036 4 0 9.02
"15" "Colts D/ST" "3.45-15.39" 22.27 2.2 1.26 0.84 0.02 0.42 "#26" 15.39 3.45 5.97 35.6409 5 0 345.804 4 0 8.96
"13" "Broncos D/ST" "3.71-16.39" 19.94 2.98 1.18 0.86 0.04 0.3 "#16" 16.39 3.71 6.34 40.1956 5 0 333.688 4 0 8.94
"16" "Jaguars D/ST" "1.75-17.89" 20.56 2.82 1.12 0.84 0.06 0.34 "#22" 17.89 1.75 8.07 65.1249 5 0 336.912 4 0 8.9
"2" "Seahawks D/ST" "3.37-15.73" 16.85 3.1 1.16 0.8 0.02 0.14 "#8" 15.73 3.37 6.18 38.1924 4 1 317.62 4 0 8.9
"6" "Texans D/ST" "2.09-16.65" 22.94 3.4 0.95 1.05 0.02 0.24 "#32" 16.65 2.09 7.28 52.9984 5 0 349.288 4 0 8.88
"2" "Texans D/ST" "2.99-16.23" 22.84 3.42 1.22 1.08 0.04 0.12 "#24" 16.23 2.99 6.62 43.8244 5 0 348.768 4 0 8.82
"2" "Broncos D/ST" "2.66-15.96" 21.88 2.86 1.08 0.66 0.06 0.38 "#23" 15.96 2.66 6.65 44.2225 5 0 343.776 4 0 8.74
"12" "Ravens D/ST" "3.29-16.05" 20.5 2.94 1.08 0.8 0.04 0.32 "#23" 16.05 3.29 6.38 40.7044 5 0 336.6 4 0 8.7
"2" "Chargers D/ST" "1.37-17.85" 19.46 2.77 1.42 0.88 0.09 0.19 "#32" 17.85 1.37 8.24 67.8976 5 0 331.192 4 0 8.69
"2" "Saints D/ST" "3.61-15.35" 17.02 2.27 1.17 0.68 0.02 0.27 "#30" 15.35 3.61 5.87 34.4569 4 1 318.504 4 0 8.63
"3" "Jaguars D/ST" "5.28-14.44" 15.14 2.57 1.17 0.49 0.03 0.27 "#24" 14.44 5.28 4.58 20.9764 4 1 308.728 4 0 8.57
"2" "Lions D/ST" "2.72-15.64" 21.36 2.12 1.4 0.68 0.04 0.36 "#27" 15.64 2.72 6.46 41.7316 5 0 341.072 4 0 8.52
"12" "Patriots D/ST" "3.67-14.75" 17.25 2.78 0.88 0.84 0.04 0.2 "#29" 14.75 3.67 5.54 30.6916 4 1 319.7 4 0 8.5
"17" "Patriots D/ST" "3.67-14.75" 17.25 2.78 0.88 0.84 0.04 0.2 "#29" 14.75 3.67 5.54 30.6916 4 1 319.7 4 0 8.5
"11" "Bears D/ST" "3.84-15.38" 19.71 2.27 1.06 0.92 0.04 0.36 "#20" 15.38 3.84 5.77 33.2929 5 0 332.492 4 0 8.47
"17" "Bears D/ST" "3.84-15.38" 19.71 2.27 1.06 0.92 0.04 0.36 "#20" 15.38 3.84 5.77 33.2929 5 0 332.492 4 0 8.47
