"Week" "Player" "range" "pts_all" "sacks" "INT" "fum" "SAF" "TD" "rnk" "max" "min" "std" "Var" "pts_all_grp" "pts_all_score" "yrds_est" "yrds_all_grp" "yrds_all_score" "Full_Proj"
"16" "Bears D/ST" "3.07-17.63" 17.96 2.9 1.02 1.02 0.06 0.28 "#27" 17.63 3.07 7.28 52.9984 5 0 323.392 4 0 8.78
"10" "Bills D/ST" "3.79-16.37" 15.46 3.06 0.92 0.76 0.02 0.22 "#29" 16.37 3.79 6.29 39.5641 4 1 310.392 4 0 8.78
"14" "Bills D/ST" "3.79-16.37" 15.46 3.06 0.92 0.76 0.02 0.22 "#29" 16.37 3.79 6.29 39.5641 4 1 310.392 4 0 8.78
"2" "Broncos D/ST" "2.66-15.96" 21.88 2.86 1.08 0.66 0.06 0.38 "#21" 15.96 2.66 6.65 44.2225 5 0 343.776 4 0 8.74
"2" "Chargers D/ST" "1.37-17.85" 19.46 2.77 1.42 0.88 0.09 0.19 "#32" 17.85 1.37 8.24 67.8976 5 0 331.192 4 0 8.69
"13" "Jets D/ST" "2.10-16.78" 17.36 2.47 1.14 0.8 0.06 0.2 "#26" 16.78 2.1 7.34 53.8756 4 1 320.272 4 0 8.67
"2" "Saints D/ST" "3.61-15.35" 17.02 2.27 1.17 0.68 0.02 0.27 "#30" 15.35 3.61 5.87 34.4569 4 1 318.504 4 0 8.63
"12" "Ravens D/ST" "3.73-15.99" 20.02 2.86 1.1 0.88 0.04 0.28 "#21" 15.99 3.73 6.13 37.5769 5 0 334.104 4 0 8.58
"3" "Jaguars D/ST" "5.28-14.44" 15.14 2.57 1.17 0.49 0.03 0.27 "#26" 14.44 5.28 4.58 20.9764 4 1 308.728 4 0 8.57
"11" "Bears D/ST" "3.50-16.28" 18.82 2.56 1.22 0.86 0.06 0.28 "#20" 16.28 3.5 6.39 40.8321 5 0 327.864 4 0 8.52
"17" "Bears D/ST" "3.50-16.28" 18.82 2.56 1.22 0.86 0.06 0.28 "#20" 16.28 3.5 6.39 40.8321 5 0 327.864 4 0 8.52
"2" "Lions D/ST" "2.72-15.64" 21.36 2.12 1.4 0.68 0.04 0.36 "#27" 15.64 2.72 6.46 41.7316 5 0 341.072 4 0 8.52
