"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"2" "Greg Zuerlein" "4.93-16.37" 2.17 2.36 2.88 2.88 10.65 "#24" 0 0.19 10.08 16.37 4.93 5.72 32.7184
"1" "Caleb Sturgis" "5.43-16.15" 2.18 2.52 3.29 3.29 10.79 "#32" 0 0.34 9.77 16.15 5.43 5.36 28.7296
"2" "Wil Lutz" "5.68-14.42" 1.89 2.02 3.64 3.66 10.05 "#2" 0.02 0.13 9.64 14.42 5.68 4.37 19.0969
"1" "Wil Lutz" "6.05-13.95" 1.9 2.12 3.55 3.59 10 "#26" 0.04 0.22 9.3 13.95 6.05 3.95 15.6025
"12" "Wil Lutz" "5.45-14.41" 2.1 2.29 2.74 2.8 9.93 "#30" 0.0599999999999996 0.19 9.3 14.41 5.45 4.48 20.0704
"8" "Greg Zuerlein" "5.58-14.32" 1.98 2.18 3.17 3.23 9.95 "#25" 0.0600000000000001 0.2 9.29 14.32 5.58 4.37 19.0969
"1" "Greg Zuerlein" "6.39-13.49" 1.93 2.16 3.25 3.26 9.94 "#29" 0.00999999999999979 0.23 9.24 13.49 6.39 3.55 12.6025
"16" "Matt Bryant" "5.25-14.05" 1.99 2.14 2.59 2.61 9.65 "#21" 0.02 0.15 9.18 14.05 5.25 4.4 19.36
"2" "Robbie Gould" "3.99-15.43" 2 2.16 2.78 2.83 9.71 "#18" 0.0500000000000003 0.16 9.18 15.43 3.99 5.72 32.7184
"9" "Justin Tucker" "5.13-14.29" 2.02 2.22 2.66 2.68 9.71 "#22" 0.02 0.2 9.09 14.29 5.13 4.58 20.9764
"3" "Josh Lambo" "5.16-14.26" 2.11 2.31 2.31 2.34 9.71 "#11" 0.0299999999999998 0.2 9.08 14.26 5.16 4.55 20.7025
"5" "Wil Lutz" "6.13-13.71" 2.1 2.37 2.69 2.73 9.92 "#8" 0.04 0.27 9.07 13.71 6.13 3.79 14.3641
"9" "Wil Lutz" "6.11-13.79" 2.12 2.41 2.65 2.69 9.95 "#6" 0.04 0.29 9.04 13.79 6.11 3.84 14.7456
"16" "Wil Lutz" "6.09-13.71" 2.1 2.37 2.74 2.8 9.9 "#22" 0.0599999999999996 0.27 9.03 13.71 6.09 3.81 14.5161
"12" "Justin Tucker" "5.77-13.51" 1.87 2.08 3.19 3.23 9.64 "#29" 0.04 0.21 8.97 13.51 5.77 3.87 14.9769
"14" "Justin Tucker" "5.63-13.57" 1.89 2.1 3.03 3.05 9.6 "#32" 0.02 0.21 8.95 13.57 5.63 3.97 15.7609
"1" "Justin Tucker" "3.57-15.53" 1.93 2.12 2.98 3.03 9.55 "#16" 0.0499999999999998 0.19 8.93 15.53 3.57 5.98 35.7604
"15" "Matt Bryant" "5.49-13.33" 1.94 2.1 2.75 2.75 9.41 "#24" 0 0.16 8.93 13.33 5.49 3.92 15.3664
"17" "Greg Zuerlein" "5.68-13.54" 1.91 2.14 3.08 3.13 9.61 "#28" 0.0499999999999998 0.23 8.87 13.54 5.68 3.93 15.4449
"15" "Justin Tucker" "5.49-13.31" 1.83 2.01 3.09 3.13 9.4 "#26" 0.04 0.18 8.82 13.31 5.49 3.91 15.2881
"2" "Justin Tucker" "4.01-14.67" 1.98 2.15 2.31 2.33 9.34 "#17" 0.02 0.17 8.81 14.67 4.01 5.33 28.4089
"5" "Matt Bryant" "5.30-13.80" 1.92 2.16 2.74 2.78 9.55 "#22" 0.0399999999999996 0.24 8.79 13.8 5.3 4.25 18.0625
"9" "Matt Bryant" "5.42-13.98" 2.08 2.39 2.39 2.42 9.7 "#8" 0.0299999999999998 0.31 8.74 13.98 5.42 4.28 18.3184
"3" "Stephen Gostkowski" "5.44-13.94" 1.82 2.1 3.6 3.71 9.69 "#18" 0.11 0.28 8.74 13.94 5.44 4.25 18.0625
"16" "Stephen Gostkowski" "4.88-14.82" 2.1 2.45 2.57 2.65 9.85 "#16" 0.0800000000000001 0.35 8.72 14.82 4.88 4.97 24.7009
"16" "Justin Tucker" "5.24-13.42" 1.92 2.12 2.66 2.68 9.33 "#27" 0.02 0.2 8.71 13.42 5.24 4.09 16.7281
"4" "Wil Lutz" "5.42-13.32" 1.93 2.14 2.98 3.04 9.37 "#15" 0.0600000000000001 0.21 8.68 13.32 5.42 3.95 15.6025
"7" "Caleb Sturgis" "5.07-14.21" 1.87 2.18 3.1 3.14 9.64 "#11" 0.04 0.31 8.67 14.21 5.07 4.57 20.8849
"7" "Matt Bryant" "4.34-13.92" 1.73 1.89 3.01 3.05 9.13 "#15" 0.04 0.16 8.61 13.92 4.34 4.79 22.9441
"2" "Matt Bryant" "5.13-13.31" 1.9 2.11 2.46 2.46 9.22 "#21" 0 0.21 8.59 13.31 5.13 4.09 16.7281
"14" "Chris Boswell" "5.21-13.53" 1.82 2.07 3.13 3.19 9.37 "#29" 0.0600000000000001 0.25 8.56 13.53 5.21 4.16 17.3056
"5" "Robbie Gould" "3.97-14.33" 1.99 2.19 2.14 2.14 9.15 "#24" 0 0.2 8.55 14.33 3.97 5.18 26.8324
"7" "Robbie Gould" "4.54-13.40" 1.77 1.89 2.75 2.81 8.97 "#6" 0.0600000000000001 0.12 8.55 13.4 4.54 4.43 19.6249
"3" "Wil Lutz" "5.11-12.95" 1.69 1.83 3.28 3.35 9.03 "#30" 0.0700000000000003 0.14 8.54 12.95 5.11 3.92 15.3664
"9" "Graham Gano" "5.09-13.29" 1.73 1.94 3.29 3.33 9.19 "#26" 0.04 0.21 8.52 13.29 5.09 4.1 16.81
"17" "Stephen Gostkowski" "4.45-14.17" 2.06 2.32 2.2 2.26 9.31 "#3" 0.0599999999999996 0.26 8.47 14.17 4.45 4.86 23.6196
"3" "Justin Tucker" "3.96-14.84" 2.06 2.36 1.81 1.86 9.4 "#19" 0.05 0.3 8.45 14.84 3.96 5.44 29.5936
"13" "Justin Tucker" "5.34-12.84" 1.95 2.16 2.36 2.38 9.09 "#30" 0.02 0.21 8.44 12.84 5.34 3.75 14.0625
"1" "Matt Prater" "4.73-13.83" 2.06 2.34 2.37 2.37 9.28 "#3" 0 0.28 8.44 13.83 4.73 4.55 20.7025
"1" "Josh Lambo" "4.56-13.28" 2.02 2.18 2.01 2.03 8.92 "#15" 0.02 0.16 8.42 13.28 4.56 4.36 19.0096
"4" "Stephen Gostkowski" "4.76-14.04" 2.15 2.47 2.1 2.13 9.4 "#4" 0.0299999999999998 0.32 8.41 14.04 4.76 4.64 21.5296
"4" "Matt Bryant" "4.69-14.17" 1.74 2.07 2.85 2.9 9.43 "#17" 0.0499999999999998 0.33 8.39 14.17 4.69 4.74 22.4676
"3" "Graham Gano" "4.58-13.80" 1.9 2.16 2.68 2.7 9.19 "#17" 0.02 0.26 8.39 13.8 4.58 4.61 21.2521
"4" "Justin Tucker" "4.52-13.60" 1.94 2.16 2.58 2.6 9.06 "#22" 0.02 0.22 8.38 13.6 4.52 4.54 20.6116
"13" "Matt Bryant" "5.27-13.39" 1.93 2.24 2.44 2.46 9.33 "#1" 0.02 0.31 8.38 13.39 5.27 4.06 16.4836
