"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"2" "Greg Zuerlein" "4.93-16.37" 2.17 2.36 2.88 2.88 10.65 "#13" 0 0.19 10.08 16.37 4.93 5.72 32.7184
"14" "Mike Badgley" "6.26-14.98" 2.1 2.27 3.32 3.4 10.62 "#23" 0.0800000000000001 0.17 10.03 14.98 6.26 4.36 19.0096
"12" "Wil Lutz" "6.73-14.77" 2.04 2.33 4.05 4.1 10.75 "#32" 0.0499999999999998 0.29 9.83 14.77 6.73 4.02 16.1604
"9" "Graham Gano" "5.85-15.17" 1.92 2.17 3.76 3.78 10.51 "#27" 0.02 0.25 9.74 15.17 5.85 4.66 21.7156
"16" "Greg Zuerlein" "6.04-13.96" 2.05 2.13 2.99 3.04 10 "#13" 0.0499999999999998 0.0800000000000001 9.71 13.96 6.04 3.96 15.6816
"13" "Sebastian Janikowski" "5.66-14.46" 1.83 1.95 3.91 3.93 10.06 "#26" 0.02 0.12 9.68 14.46 5.66 4.4 19.36
"2" "Wil Lutz" "5.68-14.42" 1.89 2.02 3.64 3.66 10.05 "#3" 0.02 0.13 9.64 14.42 5.68 4.37 19.0969
"11" "Graham Gano" "5.23-15.19" 1.79 2 3.67 3.68 10.21 "#29" 0.0100000000000002 0.21 9.57 15.19 5.23 4.98 24.8004
"1" "Wil Lutz" "6.05-13.95" 1.9 2.12 3.55 3.59 10 "#27" 0.04 0.22 9.3 13.95 6.05 3.95 15.6025
"11" "Wil Lutz" "5.75-14.65" 1.9 2.2 3.71 3.71 10.2 "#18" 0 0.3 9.3 14.65 5.75 4.45 19.8025
"15" "Matt Bryant" "5.14-14.82" 2.06 2.28 2.57 2.6 9.98 "#13" 0.0300000000000002 0.22 9.29 14.82 5.14 4.84 23.4256
"10" "Harrison Butker" "5.91-14.33" 1.94 2.23 3.61 3.62 10.12 "#13" 0.0100000000000002 0.29 9.24 14.33 5.91 4.21 17.7241
"1" "Greg Zuerlein" "6.39-13.49" 1.93 2.16 3.25 3.26 9.94 "#30" 0.00999999999999979 0.23 9.24 13.49 6.39 3.55 12.6025
"2" "Robbie Gould" "3.99-15.43" 2 2.16 2.78 2.83 9.71 "#29" 0.0500000000000003 0.16 9.18 15.43 3.99 5.72 32.7184
"8" "Greg Zuerlein" "7.09-14.05" 1.83 2.22 4.15 4.41 10.57 "#25" 0.26 0.39 9.14 14.05 7.09 3.48 12.1104
"16" "Wil Lutz" "4.95-14.53" 1.82 2.02 3.42 3.42 9.74 "#14" 0 0.2 9.14 14.53 4.95 4.79 22.9441
"3" "Josh Lambo" "5.16-14.26" 2.11 2.31 2.31 2.34 9.71 "#15" 0.0299999999999998 0.2 9.08 14.26 5.16 4.55 20.7025
"10" "Wil Lutz" "5.31-14.25" 1.94 2.17 3.32 3.37 9.78 "#23" 0.0500000000000003 0.23 9.04 14.25 5.31 4.47 19.9809
"8" "Stephen Gostkowski" "5.35-14.17" 1.92 2.15 3.21 3.26 9.76 "#6" 0.0499999999999998 0.23 9.02 14.17 5.35 4.41 19.4481
"7" "Greg Zuerlein" "7.09-13.69" 1.84 2.25 3.94 4.09 10.39 "#26" 0.15 0.41 9.01 13.69 7.09 3.3 10.89
"17" "Greg Zuerlein" "6.52-13.24" 1.91 2.2 3.37 3.37 9.88 "#26" 0 0.29 9.01 13.24 6.52 3.36 11.2896
"5" "Mason Crosby" "5.27-15.15" 1.97 2.37 3.52 3.52 10.21 "#29" 0 0.4 9.01 15.15 5.27 4.94 24.4036
"17" "Wil Lutz" "5.70-13.80" 2.02 2.26 3.13 3.17 9.75 "#24" 0.04 0.24 8.99 13.8 5.7 4.05 16.4025
"6" "Matt Bryant" "6.02-13.22" 1.86 2.07 3.14 3.16 9.62 "#27" 0.02 0.21 8.97 13.22 6.02 3.6 12.96
"8" "Robbie Gould" "4.00-15.06" 2.11 2.3 2.3 2.3 9.53 "#13" 0 0.19 8.96 15.06 4 5.53 30.5809
"5" "Graham Gano" "5.12-14.12" 1.98 2.21 2.72 2.72 9.62 "#22" 0 0.23 8.93 14.12 5.12 4.5 20.25
"15" "Greg Zuerlein" "6.40-13.52" 1.8 2.1 4.08 4.21 9.96 "#18" 0.13 0.3 8.93 13.52 6.4 3.56 12.6736
"1" "Justin Tucker" "3.57-15.53" 1.93 2.12 2.98 3.03 9.55 "#6" 0.0499999999999998 0.19 8.93 15.53 3.57 5.98 35.7604
"7" "Harrison Butker" "4.90-14.60" 1.89 2.14 3.19 3.27 9.75 "#23" 0.0800000000000001 0.25 8.92 14.6 4.9 4.85 23.5225
"13" "Harrison Butker" "5.94-14.68" 1.63 2.06 4.75 4.86 10.31 "#30" 0.11 0.43 8.91 14.68 5.94 4.37 19.0969
"12" "Justin Tucker" "5.48-14.24" 2.2 2.5 2.88 2.98 9.86 "#30" 0.1 0.3 8.86 14.24 5.48 4.38 19.1844
"2" "Justin Tucker" "4.01-14.67" 1.98 2.15 2.31 2.33 9.34 "#23" 0.02 0.17 8.81 14.67 4.01 5.33 28.4089
"17" "Matt Bryant" "5.20-13.42" 1.8 1.98 3.05 3.05 9.31 "#27" 0 0.18 8.77 13.42 5.2 4.11 16.8921
"5" "Robbie Gould" "3.58-15.22" 2.01 2.22 2.34 2.34 9.4 "#13" 0 0.21 8.77 15.22 3.58 5.82 33.8724
"15" "Sebastian Janikowski" "6.04-12.50" 1.83 1.99 3.02 3.05 9.27 "#26" 0.0299999999999998 0.16 8.76 12.5 6.04 3.23 10.4329
"3" "Stephen Gostkowski" "5.44-13.94" 1.82 2.1 3.6 3.71 9.69 "#29" 0.11 0.28 8.74 13.94 5.44 4.25 18.0625
"13" "Wil Lutz" "5.48-13.72" 1.81 2.09 3.33 3.36 9.6 "#7" 0.0299999999999998 0.28 8.73 13.72 5.48 4.12 16.9744
"13" "Matt Bryant" "3.56-15.88" 2.14 2.47 2.65 2.67 9.72 "#2" 0.02 0.33 8.71 15.88 3.56 6.16 37.9456
"5" "Justin Tucker" "4.69-14.05" 1.93 2.14 2.51 2.54 9.37 "#3" 0.0300000000000002 0.21 8.71 14.05 4.69 4.68 21.9024
"4" "Wil Lutz" "5.47-13.31" 1.93 2.14 2.98 3.04 9.39 "#22" 0.0600000000000001 0.21 8.7 13.31 5.47 3.92 15.3664
"9" "Stephen Gostkowski" "5.68-12.98" 1.85 2.06 2.99 3.01 9.33 "#25" 0.0199999999999996 0.21 8.68 12.98 5.68 3.65 13.3225
"14" "Wil Lutz" "5.86-13.22" 1.86 2.12 3.03 3.12 9.54 "#27" 0.0900000000000003 0.26 8.67 13.22 5.86 3.68 13.5424
"15" "Ka'imi Fairbairn" "5.75-12.57" 1.89 2.04 2.85 2.89 9.16 "#21" 0.04 0.15 8.67 12.57 5.75 3.41 11.6281
"15" "Wil Lutz" "5.50-13.22" 1.85 2.07 3.17 3.2 9.36 "#24" 0.0300000000000002 0.22 8.67 13.22 5.5 3.86 14.8996
"13" "Graham Gano" "6.29-12.09" 1.73 1.92 3.26 3.26 9.19 "#27" 0 0.19 8.62 12.09 6.29 2.9 8.41
"10" "Robbie Gould" "4.00-14.70" 2.06 2.31 2.56 2.56 9.35 "#22" 0 0.25 8.6 14.7 4 5.35 28.6225
"2" "Matt Bryant" "5.13-13.31" 1.9 2.11 2.46 2.46 9.22 "#24" 0 0.21 8.59 13.31 5.13 4.09 16.7281
"5" "Stephen Gostkowski" "5.42-14.16" 2.01 2.41 2.82 2.82 9.79 "#20" 0 0.4 8.59 14.16 5.42 4.37 19.0969
"3" "Wil Lutz" "5.11-12.95" 1.69 1.83 3.28 3.35 9.03 "#32" 0.0700000000000003 0.14 8.54 12.95 5.11 3.92 15.3664
"16" "Matt Bryant" "5.25-12.77" 1.74 1.9 2.87 2.87 9.01 "#24" 0 0.16 8.53 12.77 5.25 3.76 14.1376
"12" "Robbie Gould" "5.17-12.91" 1.78 1.93 2.66 2.72 9.04 "#27" 0.0600000000000001 0.15 8.53 12.91 5.17 3.87 14.9769
"11" "Harrison Butker" "5.57-12.57" 1.7 1.86 3.25 3.32 9.07 "#8" 0.0699999999999998 0.16 8.52 12.57 5.57 3.5 12.25
"10" "Graham Gano" "5.86-12.48" 1.89 2.11 2.65 2.67 9.17 "#14" 0.02 0.22 8.49 12.48 5.86 3.31 10.9561
"4" "Josh Lambo" "3.22-15.38" 2.08 2.35 2.8 2.8 9.3 "#21" 0 0.27 8.49 15.38 3.22 6.08 36.9664
"6" "Stephen Gostkowski" "5.38-13.36" 1.78 2.06 3.38 3.42 9.37 "#28" 0.04 0.28 8.49 13.36 5.38 3.99 15.9201
"7" "Robbie Gould" "4.67-12.63" 1.86 1.91 1.89 1.91 8.65 "#8" 0.02 0.0499999999999998 8.48 12.63 4.67 3.98 15.8404
"4" "Justin Tucker" "4.51-13.79" 1.99 2.21 2.64 2.66 9.15 "#14" 0.02 0.22 8.47 13.79 4.51 4.64 21.5296
"3" "Justin Tucker" "3.96-14.84" 2.06 2.36 1.81 1.86 9.4 "#5" 0.05 0.3 8.45 14.84 3.96 5.44 29.5936
"1" "Matt Prater" "4.73-13.83" 2.06 2.34 2.37 2.37 9.28 "#21" 0 0.28 8.44 13.83 4.73 4.55 20.7025
"4" "Stephen Gostkowski" "4.79-14.07" 2.15 2.47 2.1 2.13 9.43 "#31" 0.0299999999999998 0.32 8.44 14.07 4.79 4.64 21.5296
"11" "Matt Bryant" "-0.61-19.37" 1.95 2.23 2.53 2.64 9.38 "#7" 0.11 0.28 8.43 19.37 -0.61 9.99 99.8001
"5" "Wil Lutz" "5.25-13.33" 1.9 2.16 2.82 2.9 9.29 "#17" 0.0800000000000001 0.26 8.43 13.33 5.25 4.04 16.3216
"1" "Josh Lambo" "4.56-13.28" 2.02 2.18 2.01 2.03 8.92 "#22" 0.02 0.16 8.42 13.28 4.56 4.36 19.0096
"4" "Matt Bryant" "4.63-14.27" 1.74 2.07 2.85 2.9 9.45 "#23" 0.0499999999999998 0.33 8.41 14.27 4.63 4.82 23.2324
"10" "Greg Zuerlein" "5.09-13.95" 1.94 2.31 2.82 2.84 9.52 "#16" 0.02 0.37 8.39 13.95 5.09 4.43 19.6249
"3" "Graham Gano" "4.58-13.80" 1.9 2.16 2.68 2.7 9.19 "#23" 0.02 0.26 8.39 13.8 4.58 4.61 21.2521
"12" "Stephen Gostkowski" "5.25-13.95" 1.82 2.2 3.44 3.51 9.6 "#21" 0.0699999999999998 0.38 8.39 13.95 5.25 4.35 18.9225
"1" "Stephen Gostkowski" "5.52-13.12" 1.8 2.08 3.2 3.31 9.32 "#11" 0.11 0.28 8.37 13.12 5.52 3.8 14.44
"14" "Ka'imi Fairbairn" "4.89-12.79" 1.78 1.94 2.65 2.65 8.84 "#20" 0 0.16 8.36 12.79 4.89 3.95 15.6025
"3" "Matt Bryant" "4.37-14.39" 1.81 2.14 2.87 2.91 9.38 "#12" 0.04 0.33 8.35 14.39 4.37 5.01 25.1001
"13" "Brandon McManus" "5.20-12.92" 1.94 2.18 2.74 2.75 9.06 "#23" 0.00999999999999979 0.24 8.33 12.92 5.2 3.86 14.8996
"5" "Matt Bryant" "5.52-12.28" 1.73 1.92 2.9 2.9 8.9 "#14" 0 0.19 8.33 12.28 5.52 3.38 11.4244
"15" "Justin Tucker" "5.14-13.04" 1.75 1.98 2.32 2.4 9.09 "#27" 0.0800000000000001 0.23 8.32 13.04 5.14 3.95 15.6025
"9" "Brandon McManus" "4.85-13.15" 1.94 2.17 2.46 2.46 9 "#11" 0 0.23 8.31 13.15 4.85 4.15 17.2225
"16" "Jason Myers" "4.10-13.48" 1.98 2.14 2.04 2.04 8.79 "#25" 0 0.16 8.31 13.48 4.1 4.69 21.9961
"16" "Mike Badgley" "4.74-13.80" 1.84 2.16 2.73 2.73 9.27 "#2" 0 0.32 8.31 13.8 4.74 4.53 20.5209
"3" "Harrison Butker" "5.45-13.07" 1.94 2.26 2.87 2.87 9.26 "#26" 0 0.32 8.3 13.07 5.45 3.81 14.5161
"12" "Graham Gano" "4.62-14.02" 1.83 2.16 2.7 2.74 9.32 "#16" 0.04 0.33 8.29 14.02 4.62 4.7 22.09
"10" "Mike Badgley" "5.16-12.46" 1.69 1.84 2.99 3.06 8.81 "#30" 0.0699999999999998 0.15 8.29 12.46 5.16 3.65 13.3225
"1" "Graham Gano" "4.23-13.69" 1.89 2.1 2.42 2.48 8.96 "#7" 0.0600000000000001 0.21 8.27 13.69 4.23 4.73 22.3729
"9" "Brett Maher" "4.56-14.02" 2.02 2.32 2.68 2.82 9.29 "#15" 0.14 0.3 8.25 14.02 4.56 4.73 22.3729
"7" "Stephen Gostkowski" "4.58-13.20" 1.76 1.96 2.87 2.91 8.89 "#1" 0.04 0.2 8.25 13.2 4.58 4.31 18.5761
"2" "Cody Parkey" "4.70-13.40" 2.02 2.29 1.73 1.73 9.05 "#16" 0 0.27 8.24 13.4 4.7 4.35 18.9225
"17" "Sebastian Janikowski" "5.62-12.40" 1.68 1.93 3.09 3.11 9.01 "#13" 0.02 0.25 8.24 12.4 5.62 3.39 11.4921
"8" "Harrison Butker" "5.00-13.70" 1.83 2.18 3.21 3.28 9.35 "#5" 0.0699999999999998 0.35 8.23 13.7 5 4.35 18.9225
"12" "Matt Bryant" "3.56-14.60" 1.9 2.03 2.48 2.96 9.08 "#12" 0.48 0.13 8.21 14.6 3.56 5.52 30.4704
"10" "Jason Myers" "3.97-14.61" 1.98 2.34 2.25 2.25 9.29 "#6" 0 0.36 8.21 14.61 3.97 5.32 28.3024
"16" "Greg Joseph" "4.11-14.35" 1.99 2.32 2.24 2.28 9.23 "#23" 0.0399999999999996 0.33 8.2 14.35 4.11 5.12 26.2144
"12" "Mike Badgley" "4.26-14.12" 1.82 2.15 3.14 3.14 9.19 "#13" 0 0.33 8.2 14.12 4.26 4.93 24.3049
"9" "Jason Myers" "5.26-11.94" 1.79 1.92 2.23 2.25 8.6 "#31" 0.02 0.13 8.19 11.94 5.26 3.34 11.1556
"6" "Josh Lambo" "3.92-13.90" 1.71 1.94 2.84 2.88 8.91 "#7" 0.04 0.23 8.18 13.9 3.92 4.99 24.9001
"11" "Justin Tucker" "4.47-13.81" 2.01 2.33 2.44 2.44 9.14 "#23" 0 0.32 8.18 13.81 4.47 4.67 21.8089
"9" "Wil Lutz" "5.23-13.23" 1.81 2.12 2.76 2.88 9.23 "#8" 0.12 0.31 8.18 13.23 5.23 4 16
"10" "Stephen Gostkowski" "5.64-12.78" 2 2.34 2.48 2.51 9.21 "#15" 0.0299999999999998 0.34 8.16 12.78 5.64 3.57 12.7449
"3" "Jake Elliott" "4.22-12.88" 1.57 1.69 3.19 3.23 8.55 "#20" 0.04 0.12 8.15 12.88 4.22 4.33 18.7489
"2" "Jake Elliott" "4.53-13.19" 1.81 2.03 2.75 2.8 8.86 "#27" 0.0499999999999998 0.22 8.15 13.19 4.53 4.33 18.7489
"5" "Randy Bullock" "4.43-14.09" 1.89 2.24 3.31 3.37 9.26 "#31" 0.0600000000000001 0.35 8.15 14.09 4.43 4.83 23.3289
"15" "Mike Badgley" "4.95-12.29" 1.46 1.62 3.68 3.68 8.62 "#28" 0 0.16 8.14 12.29 4.95 3.67 13.4689
"9" "Robbie Gould" "4.81-12.95" 1.91 2.15 2.17 2.2 8.88 "#30" 0.0300000000000002 0.24 8.13 12.95 4.81 4.07 16.5649
"9" "Sebastian Janikowski" "5.64-12.42" 1.81 2.11 2.49 2.49 9.03 "#10" 0 0.3 8.13 12.42 5.64 3.39 11.4921
"2" "Chris Boswell" "5.20-13.44" 1.91 2.27 2.63 2.75 9.32 "#28" 0.12 0.36 8.12 13.44 5.2 4.12 16.9744
"7" "Josh Lambo" "3.93-13.69" 1.85 2.04 2.64 2.76 8.81 "#11" 0.12 0.19 8.12 13.69 3.93 4.88 23.8144
"11" "Sebastian Janikowski" "4.35-13.89" 1.79 2.1 3.18 3.25 9.12 "#25" 0.0699999999999998 0.31 8.12 13.89 4.35 4.77 22.7529
"12" "Brett Maher" "3.57-14.51" 1.83 2.13 2.6 2.63 9.04 "#17" 0.0299999999999998 0.3 8.11 14.51 3.57 5.47 29.9209
"4" "Harrison Butker" "4.46-13.44" 1.64 1.91 2.6 2.65 8.95 "#5" 0.0499999999999998 0.27 8.09 13.44 4.46 4.49 20.1601
"14" "Sebastian Janikowski" "4.52-13.78" 1.68 2.02 3.49 3.54 9.15 "#4" 0.0499999999999998 0.34 8.08 13.78 4.52 4.63 21.4369
