"Player" "Pos" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17"
"A.J. Derby" "TE" 1.73 1.73 2.65 0 0 0 0 0 0 1.98 NA 1.75 1.53 1.49 1.3 1.67 1.48
"A.J. Green" "WR" 12.65 10.69 11.96 9.6 11.17 11.93 12.36 13.24 NA 0 0 9.71 11.38 12.58 12.61 9.44 10.66
"A.J. McCarron" "QB" 0.54 0.5 0.63 0.61 0.57 0.58 NA 0.83 0.72 0.15 0.13 0.13 0.15 0.13 0.12 0.11 0.14
"Aaron Jones" "RB" 0 0 5.42 5.58 8.76 7.16 NA 5.88 8.77 11.3 9.56 8.76 12.18 11.85 9.53 9.75 12.91
"Aaron Rodgers" "QB" 22.36 19.52 20.7 22.61 21.59 21.89 NA 23.08 23.17 23.58 19.43 19.58 20.59 25.52 19.63 18.39 26.45
"Adam Humphries" "WR" 2.14 2.32 2.2 3.92 NA 3.72 3.57 2.62 4 3.88 4.49 4.48 3.85 4.34 4.24 4.64 4.47
"Adam Shaheen" "TE" 0 0 0 0 NA 0 0 0.5 0.51 0.57 0.48 0.54 0.53 0.56 0.48 0.59 0.46
"Adam Thielen" "WR" 11.05 10.03 11.35 9.78 12.27 13.17 14.47 15.43 14.51 NA 15.15 14.32 14.5 14.32 15.13 14.11 15.82
"Adrian Peterson" "RB" 3.71 9.35 9.32 NA 9.69 11.34 11.45 11.6 14.21 12.78 11.69 11.36 11.7 11.88 12.27 11.81 12.49
"Alan Cross" "TE" 0.67 0.57 0.54 0.49 NA 1.06 0.44 0.57 0.58 0.46 0.43 0.48 0.47 0.51 0.36 0.41 0.48
"Aldrick Robinson" "WR" NA NA 0.5 0.43 2.13 0.51 0.54 0.79 4.6 NA 0.51 0.82 0.56 0.44 0.8 0.75 0.52
"Alex Armah" "RB" 0.69 0.61 0.63 NA 0.59 0.39 0.3 0.69 1.16 1.03 1.37 1.12 1.25 0.97 1.49 1.54 1.32
"Alex Collins" "RB" 10.28 8.1 9.93 9.97 7.62 5.99 10.35 10.49 9.04 NA 10.2 10.19 9.48 9.69 9.89 8.99 8.88
"Alex Erickson" "WR" 0.47 0.5 0.79 0.82 1.26 1.07 1.48 0.9 NA 1.6 0.26 0.31 0.3 0.38 0.38 0.3 0.31
"Alex Smith" "QB" 14.97 20.24 18.71 NA 19.7 19.02 16.03 16.85 19.67 17.52 19.06 16.85 13.64 17.49 14.19 17.31 14.45
"Alex Tanney" "QB" 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"Alfred Blue" "RB" 3.38 2.71 4.54 4.98 8.86 6.58 5.31 4.67 4.71 NA 5.19 5.26 3.97 5.18 4.35 4.72 4.79
"Alfred Morris" "RB" 5.23 7.48 8.35 6.96 6.2 6.73 3.74 5.54 5 4.69 NA 5.35 4.46 6.31 4.82 4.81 4.71
"Allen Hurns" "WR" 4.5 4.92 4.66 4.73 4.9 4.48 3.64 NA 2.44 1.98 2.21 2.34 2.2 2.04 2.13 2.71 1.64
"Allen Robinson" "WR" 8.56 8.46 8.4 7.7 NA 8.03 7.2 0 0 4.3 4.94 8.27 6.93 7.44 7.86 7.03 4.79
"Alshon Jeffery" "WR" 0 0 0 3.85 9.19 9.03 10.67 10.99 NA 10.41 9.64 9.38 9.71 9.92 10.09 10.86 9.34
"Alvin Kamara" "RB" 19.29 18.49 16.06 17.7 17.45 NA 13.68 14.82 18.52 17.89 17.68 20.49 15.22 19.62 18.33 16.62 19.86
"Amari Cooper" "WR" 8.35 8.45 8.25 10.1 9.01 7.5 NA NA 6.57 7.02 7.62 6.02 8.42 6.9 6.41 9.47 6.66
"Ameer Abdullah" "RB" 0 0 1.71 0 2.31 NA 1.6 1.63 0 0 0 0 0 0 0 0 0
"Andre Holmes" "WR" 0.97 0.44 0.45 0.53 0.39 2.02 2.46 2.73 1.05 1.78 NA 2.19 2.42 1.85 2.67 2.12 2.5
"Andre Roberts" "WR" NA NA 0.43 0.26 0.27 0.24 0.58 2.16 0.72 0.3 NA 0.3 0.12 0.28 0.27 0.12 0.28
"Andrew Luck" "QB" 18.05 15.88 14.26 18.38 16.92 15.45 18.69 21.61 NA 16.15 19.75 19.97 15.26 21.32 20.7 19.04 18.72
"Andy Dalton" "QB" 18.67 12.73 13.15 18.63 18.71 17.1 19.76 21.6 NA 21.16 16.36 15.52 16.35 17.28 20.88 13.43 15.43
"Andy Janovich" "RB" 0.84 0.85 1.25 1.01 1.34 1.31 1.49 1.16 1.28 NA 1.21 1.35 0.82 1.32 1.1 1.53 1.29
"Andy Jones" "WR" 0.51 0.54 0.47 0.56 0.6 NA 0.68 0.7 0.58 0.57 0.77 0.59 0.81 0.67 0.59 0.58 0.81
"Anthony Firkser" "TE" NA NA NA NA NA NA 0.65 NA 0.78 0.88 0.82 0.82 0.88 0.88 0.82 0.88 0.88
"Anthony Miller" "WR" 5.15 4.07 3.4 0 NA 4.19 4.04 6.34 5.6 5.72 3.72 4.04 4 4.39 4.3 3.73 3.6
"Anthony Sherman" "RB" 0.41 0.56 0.6 0.63 0.5 0.47 0.45 0.44 0.44 0.53 0.44 NA 0.45 0.53 0.49 0.51 0.48
"Antonio Brown" "WR" 12.94 14.65 15.35 15.87 15.59 14.88 NA 14.53 12.15 13.91 13.31 12.96 13.47 15.55 15.29 17.01 13.19
"Antonio Callaway" "WR" 4.39 4.32 6.27 6.42 6.8 6.97 6.24 4.35 4.16 5.27 NA 5.47 5.88 5.49 5.71 5.07 3.94
"Antonio Gates" "TE" 3.05 2.44 2.54 3.09 3.78 2.57 2.46 NA 1.77 2.81 3.05 2.71 2.54 3.13 2.65 2.04 2.93
"Antony Auclair" "TE" 0.62 0.53 0.66 0.69 NA 1.05 0.45 0.37 0.29 0.21 0.27 0.26 0.26 0.33 0.42 0.42 0.26
"Austin Carr" "WR" 4.3 4.06 2.13 2.18 1.24 NA 3.75 1.56 1.36 1.24 1.09 1.44 1.17 1.41 1.29 1.12 1.3
"Austin Ekeler" "RB" 5.93 5.43 5.26 6.53 7.42 6.56 12.89 NA 8.42 6.62 7.39 6.5 6.09 7.5 7.31 5.66 6.81
"Austin Hooper" "TE" 3.37 4.61 3.39 3.94 4.21 6.12 8.2 NA 6.82 4.49 7.25 9.01 5.85 7.82 5.85 6.52 8.89
"Baker Mayfield" "QB" 2.19 1.78 0.88 18.36 13.22 17.36 17.72 16.12 18.32 18.02 NA 14.52 17.44 17.56 14.16 15.62 11.75
"Ben Braunecker" "TE" 0.59 0.59 0.42 0.61 NA 0.48 0.32 0.3 0.17 0.15 0.14 0.14 0.12 0.17 0.19 0.16 0.13
"Ben Roethlisberger" "QB" 16.58 18.92 21.35 19.29 22.82 20.06 NA 19.65 17.14 20.97 20.07 19.02 20.45 21.5 22.57 22.66 20.22
"Benjamin Watson" "TE" 4.43 5.18 4.84 5.88 5.16 NA 4.51 5.02 5.08 5.54 6.19 6.3 6.15 6.73 6.37 7.13 6.68
"Bennie Fowler" "WR" NA 0 NA NA NA NA 1.99 0.84 NA 0.43 0.47 0.48 0.53 0.49 0.45 0.46 0.51
"Benny Cunningham" "RB" 1.06 1.03 1.2 0.52 NA 0.48 0.61 0.46 0.3 0.32 0.33 0.31 0.28 0.25 0.33 0.24 0.31
