"Week" "Player" "range" "pts_all" "sacks" "INT" "fum" "SAF" "TD" "rnk" "max" "min" "std" "Var" "pts_all_grp" "pts_all_score" "yrds_est" "yrds_all_grp" "yrds_all_score" "Full_Proj"
"12" "Jaguars D/ST" "5.06-21.54" 12.83 3.33 1.1 0.96 0.1 0.38 "#32" 21.54 5.06 8.24 67.8976 3 3 296.716 3 2 14.93
"9" "Bears D/ST" "5.45-18.99" 12.59 3.32 1 0.86 0.04 0.3 "#32" 18.99 5.45 6.77 45.8329 3 3 295.468 3 2 13.92
"3" "Vikings D/ST" "4.71-16.87" 12.51 2.32 0.89 0.71 0.05 0.32 "#32" 16.87 4.71 6.08 36.9664 3 3 295.052 3 2 12.54
"16" "Jaguars D/ST" "6.78-20.62" 14.16 3.2 1.34 0.98 0 0.58 "#29" 20.62 6.78 6.92 47.8864 4 1 303.632 4 0 12.32
"2" "Rams D/ST" "6.96-19.84" 15.35 3.54 1.5 0.92 0.04 0.42 "#31" 19.84 6.96 6.44 41.4736 4 1 309.82 4 0 11.98
"1" "Ravens D/ST" "6.47-17.25" 16.72 3.11 1.56 0.66 0.1 0.35 "#32" 17.25 6.47 5.39 29.0521 4 1 316.944 4 0 10.85
"13" "Bears D/ST" "4.80-18.96" 16.24 2.71 1.52 0.9 0.04 0.34 "#22" 18.96 4.8 7.08 50.1264 4 1 314.448 4 0 10.67
"17" "Ravens D/ST" "5.43-19.57" 13.96 3.28 1.44 0.88 0.08 0.26 "#26" 19.57 5.43 7.07 49.9849 4 1 302.592 4 0 10.64
"1" "Jaguars D/ST" "5.18-19.26" 14.21 3.18 1.24 0.76 0.08 0.34 "#22" 19.26 5.18 7.04 49.5616 4 1 303.892 4 0 10.38
"5" "Ravens D/ST" "4.18-12.00" 13.34 1.66 0.7 0.45 0.04 0.2 "#26" 12 4.18 3.91 15.2881 3 3 299.368 3 2 10.24
"10" "Jaguars D/ST" "3.92-18.12" 16.33 2.72 1.4 0.6 0.02 0.4 "#20" 18.12 3.92 7.1 50.41 4 1 314.916 4 0 10.16
"13" "Jaguars D/ST" "3.92-18.12" 16.33 2.72 1.4 0.6 0.02 0.4 "#20" 18.12 3.92 7.1 50.41 4 1 314.916 4 0 10.16
"1" "Vikings D/ST" "4.09-18.43" 15.49 2.9 1.18 0.72 0.04 0.3 "#30" 18.43 4.09 7.17 51.4089 4 1 310.548 4 0 9.58
"17" "Steelers D/ST" "3.23-17.25" 22.14 2.68 1.16 0.98 0.02 0.42 "#4" 17.25 3.23 7.01 49.1401 5 0 345.128 4 0 9.52
"15" "Broncos D/ST" "4.89-17.49" 18.92 2.9 1.22 1.06 0.06 0.32 "#26" 17.49 4.89 6.3 39.69 5 0 328.384 4 0 9.5
"1" "Seahawks D/ST" "4.13-16.29" 16.34 3.02 1.16 0.72 0.02 0.26 "#14" 16.29 4.13 6.08 36.9664 4 1 314.968 4 0 9.38
"14" "Jaguars D/ST" "4.80-17.16" 14.81 3.14 1.2 0.68 0.12 0.2 "#25" 17.16 4.8 6.18 38.1924 4 1 307.012 4 0 9.34
"13" "Bills D/ST" "3.40-17.30" 16.24 2.95 1.2 0.66 0.04 0.24 "#29" 17.3 3.4 6.95 48.3025 4 1 314.448 4 0 9.19
"17" "Bills D/ST" "3.40-17.30" 16.24 2.95 1.2 0.66 0.04 0.24 "#29" 17.3 3.4 6.95 48.3025 4 1 314.448 4 0 9.19
"7" "Cardinals D/ST" "2.93-17.21" 16.99 2.58 1.06 0.76 0.02 0.32 "#14" 17.21 2.93 7.14 50.9796 4 1 318.348 4 0 9.18
"13" "Dolphins D/ST" "3.49-18.47" 17.78 2.5 1.34 0.76 0.04 0.38 "#32" 18.47 3.49 7.49 56.1001 5 0 322.456 4 0 9.06
"17" "Dolphins D/ST" "3.49-18.47" 17.78 2.5 1.34 0.76 0.04 0.38 "#32" 18.47 3.49 7.49 56.1001 5 0 322.456 4 0 9.06
"10" "Jets D/ST" "3.77-17.41" 18.16 2.92 1.16 0.84 0.04 0.34 "#32" 17.41 3.77 6.82 46.5124 5 0 324.432 4 0 9.04
"14" "Jets D/ST" "3.77-17.41" 18.16 2.92 1.16 0.84 0.04 0.34 "#32" 17.41 3.77 6.82 46.5124 5 0 324.432 4 0 9.04
"1" "Redskins D/ST" "4.97-16.75" 17.6 2.79 1.46 0.53 0.02 0.37 "#31" 16.75 4.97 5.89 34.6921 5 0 321.52 4 0 9.03
"15" "Browns D/ST" "3.25-16.69" 16.07 2.73 1.04 0.72 0.02 0.28 "#14" 16.69 3.25 6.72 45.1584 4 1 313.564 4 0 8.97
"2" "Seahawks D/ST" "3.37-15.73" 16.85 3.1 1.16 0.8 0.02 0.14 "#17" 15.73 3.37 6.18 38.1924 4 1 317.62 4 0 8.9
"6" "Texans D/ST" "2.09-16.65" 22.94 3.4 0.95 1.05 0.02 0.24 "#32" 16.65 2.09 7.28 52.9984 5 0 349.288 4 0 8.88
"17" "Seahawks D/ST" "3.79-16.83" 18.42 2.84 1.1 0.84 0.04 0.34 "#31" 16.83 3.79 6.52 42.5104 5 0 325.784 4 0 8.84
"2" "Texans D/ST" "2.99-16.23" 22.84 3.42 1.22 1.08 0.04 0.12 "#25" 16.23 2.99 6.62 43.8244 5 0 348.768 4 0 8.82
"9" "Jets D/ST" "4.01-16.09" 18.92 2.69 1.28 0.78 0.1 0.3 "#29" 16.09 4.01 6.04 36.4816 5 0 328.384 4 0 8.81
"8" "Bears D/ST" "3.53-17.49" 18.07 2.72 1.1 0.86 0.04 0.34 "#24" 17.49 3.53 6.98 48.7204 5 0 323.964 4 0 8.76
"2" "Broncos D/ST" "2.66-15.96" 21.88 2.86 1.08 0.66 0.06 0.38 "#13" 15.96 2.66 6.65 44.2225 5 0 343.776 4 0 8.74
"14" "Steelers D/ST" "3.09-16.05" 21.43 2.64 1.14 0.98 0.02 0.3 "#13" 16.05 3.09 6.48 41.9904 5 0 341.436 4 0 8.72
"12" "Ravens D/ST" "2.15-17.35" 21.22 2.54 1.04 0.9 0.06 0.36 "#13" 17.35 2.15 7.6 57.76 5 0 340.344 4 0 8.7
"2" "Chargers D/ST" "1.37-17.85" 19.46 2.77 1.42 0.88 0.09 0.19 "#32" 17.85 1.37 8.24 67.8976 5 0 331.192 4 0 8.69
"14" "49ers D/ST" "3.95-14.83" 20.81 2.9 1.32 0.72 0.12 0.24 "#14" 14.83 3.95 5.44 29.5936 5 0 338.212 4 0 8.66
