"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"1" "Caleb Sturgis" "5.43-16.15" 2.18 2.52 3.29 3.29 10.79 "#31" 0 0.34 9.77 16.15 5.43 5.36 28.7296
"2" "Wil Lutz" "5.68-14.42" 1.89 2.02 3.64 3.66 10.05 "#1" 0.02 0.13 9.64 14.42 5.68 4.37 19.0969
"9" "Wil Lutz" "6.62-13.96" 2.21 2.45 2.84 2.9 10.29 "#19" 0.0600000000000001 0.24 9.51 13.96 6.62 3.67 13.4689
"15" "Justin Tucker" "5.25-15.25" 2.09 2.32 2.99 3.05 10.25 "#29" 0.0599999999999996 0.23 9.5 15.25 5.25 5 25
"1" "Wil Lutz" "6.05-13.95" 1.9 2.12 3.55 3.59 10 "#29" 0.04 0.22 9.3 13.95 6.05 3.95 15.6025
"11" "Caleb Sturgis" "5.26-14.94" 2.11 2.36 2.69 2.78 10.1 "#26" 0.0899999999999999 0.25 9.26 14.94 5.26 4.84 23.4256
"12" "Justin Tucker" "5.18-14.90" 2.08 2.32 2.84 2.91 10.04 "#28" 0.0700000000000003 0.24 9.25 14.9 5.18 4.86 23.6196
"12" "Wil Lutz" "5.87-14.21" 2.08 2.32 3.04 3.13 10.04 "#32" 0.0899999999999999 0.24 9.23 14.21 5.87 4.17 17.3889
"2" "Robbie Gould" "3.99-15.43" 2 2.16 2.78 2.83 9.71 "#30" 0.0500000000000003 0.16 9.18 15.43 3.99 5.72 32.7184
"3" "Josh Lambo" "5.16-14.26" 2.11 2.31 2.31 2.34 9.71 "#23" 0.0299999999999998 0.2 9.08 14.26 5.16 4.55 20.7025
"17" "Matt Bryant" "5.99-13.45" 1.89 2.1 3.19 3.21 9.72 "#29" 0.02 0.21 9.07 13.45 5.99 3.73 13.9129
"13" "Justin Tucker" "5.62-14.60" 2.2 2.55 2.63 2.66 10.11 "#32" 0.0300000000000002 0.35 9.03 14.6 5.62 4.49 20.1601
"5" "Mason Crosby" "5.27-15.15" 1.97 2.37 3.52 3.52 10.21 "#30" 0 0.4 9.01 15.15 5.27 4.94 24.4036
"9" "Stephen Gostkowski" "6.14-13.62" 1.89 2.18 3.33 3.33 9.88 "#21" 0 0.29 9.01 13.62 6.14 3.74 13.9876
"14" "Justin Tucker" "5.59-14.43" 2.09 2.42 2.81 2.83 10.01 "#31" 0.02 0.33 9 14.43 5.59 4.42 19.5364
"5" "Graham Gano" "5.12-14.12" 1.98 2.21 2.72 2.72 9.62 "#15" 0 0.23 8.93 14.12 5.12 4.5 20.25
"1" "Justin Tucker" "3.57-15.53" 1.93 2.12 2.98 3.03 9.55 "#5" 0.0499999999999998 0.19 8.93 15.53 3.57 5.98 35.7604
"6" "Matt Bryant" "5.99-13.19" 1.85 2.07 3.14 3.16 9.59 "#29" 0.02 0.22 8.91 13.19 5.99 3.6 12.96
"7" "Justin Tucker" "4.32-14.74" 2 2.2 2.76 2.8 9.53 "#27" 0.04 0.2 8.89 14.74 4.32 5.21 27.1441
"9" "Graham Gano" "5.27-13.31" 1.73 1.87 3.35 3.4 9.29 "#29" 0.0499999999999998 0.14 8.82 13.31 5.27 4.02 16.1604
"2" "Justin Tucker" "4.01-14.67" 1.98 2.15 2.31 2.33 9.34 "#11" 0.02 0.17 8.81 14.67 4.01 5.33 28.4089
"17" "Caleb Sturgis" "4.97-14.13" 2 2.23 2.55 2.62 9.55 "#26" 0.0700000000000003 0.23 8.79 14.13 4.97 4.58 20.9764
"11" "Matt Bryant" "5.88-12.82" 1.97 2.16 2.61 2.61 9.35 "#16" 0 0.19 8.78 12.82 5.88 3.47 12.0409
"5" "Robbie Gould" "3.58-15.22" 2.01 2.22 2.34 2.34 9.4 "#6" 0 0.21 8.77 15.22 3.58 5.82 33.8724
"14" "Wil Lutz" "4.96-13.66" 1.83 1.99 3.17 3.23 9.31 "#29" 0.0600000000000001 0.16 8.77 13.66 4.96 4.35 18.9225
"3" "Stephen Gostkowski" "5.44-13.94" 1.82 2.1 3.6 3.71 9.69 "#30" 0.11 0.28 8.74 13.94 5.44 4.25 18.0625
"5" "Justin Tucker" "4.69-14.05" 1.93 2.14 2.51 2.54 9.37 "#1" 0.0300000000000002 0.21 8.71 14.05 4.69 4.68 21.9024
"4" "Wil Lutz" "5.47-13.31" 1.93 2.14 2.98 3.04 9.39 "#15" 0.0600000000000001 0.21 8.7 13.31 5.47 3.92 15.3664
"9" "Matt Bryant" "5.51-12.53" 1.77 1.88 2.86 2.88 9.02 "#12" 0.02 0.11 8.67 12.53 5.51 3.51 12.3201
"9" "Robbie Gould" "4.99-14.39" 2.01 2.34 2.83 2.87 9.69 "#28" 0.04 0.33 8.66 14.39 4.99 4.7 22.09
"11" "Harrison Butker" "5.42-12.82" 1.83 1.99 2.74 2.78 9.12 "#19" 0.0399999999999996 0.16 8.6 12.82 5.42 3.7 13.69
"12" "Matt Bryant" "5.70-12.34" 1.81 1.95 2.72 2.72 9.02 "#27" 0 0.14 8.6 12.34 5.7 3.32 11.0224
"2" "Matt Bryant" "5.13-13.31" 1.9 2.11 2.46 2.46 9.22 "#14" 0 0.21 8.59 13.31 5.13 4.09 16.7281
"5" "Stephen Gostkowski" "5.42-14.16" 2.01 2.41 2.82 2.82 9.79 "#22" 0 0.4 8.59 14.16 5.42 4.37 19.0969
"16" "Wil Lutz" "5.08-13.78" 1.96 2.23 2.69 2.73 9.43 "#8" 0.04 0.27 8.58 13.78 5.08 4.35 18.9225
"8" "Harrison Butker" "4.87-13.59" 1.87 2.08 2.88 2.94 9.23 "#26" 0.0600000000000001 0.21 8.54 13.59 4.87 4.36 19.0096
"3" "Wil Lutz" "5.11-12.95" 1.69 1.83 3.28 3.35 9.03 "#32" 0.0700000000000003 0.14 8.54 12.95 5.11 3.92 15.3664
"7" "Matt Bryant" "5.36-12.70" 1.79 1.95 2.76 2.78 9.03 "#15" 0.02 0.16 8.53 12.7 5.36 3.67 13.4689
"7" "Caleb Sturgis" "4.91-13.61" 1.79 2.03 3.08 3.1 9.26 "#23" 0.02 0.24 8.52 13.61 4.91 4.35 18.9225
"17" "Wil Lutz" "5.04-13.46" 1.88 2.12 2.92 2.94 9.25 "#14" 0.02 0.24 8.51 13.46 5.04 4.21 17.7241
"14" "Matt Bryant" "5.68-12.40" 1.79 1.97 2.8 2.8 9.04 "#21" 0 0.18 8.5 12.4 5.68 3.36 11.2896
"6" "Stephen Gostkowski" "5.43-13.25" 1.78 2.05 3.35 3.39 9.34 "#31" 0.04 0.27 8.49 13.25 5.43 3.91 15.2881
"4" "Josh Lambo" "3.22-15.38" 2.08 2.35 2.8 2.8 9.3 "#9" 0 0.27 8.49 15.38 3.22 6.08 36.9664
"4" "Justin Tucker" "4.51-13.79" 1.99 2.21 2.64 2.66 9.15 "#8" 0.02 0.22 8.47 13.79 4.51 4.64 21.5296
"7" "Harrison Butker" "5.18-13.30" 1.9 2.14 2.7 2.76 9.24 "#11" 0.0599999999999996 0.24 8.46 13.3 5.18 4.06 16.4836
"15" "Stephen Hauschka" "4.69-14.17" 2.1 2.41 2.17 2.21 9.43 "#30" 0.04 0.31 8.46 14.17 4.69 4.74 22.4676
"14" "Caleb Sturgis" "4.35-14.49" 1.89 2.18 2.9 3 9.42 "#11" 0.1 0.29 8.45 14.49 4.35 5.07 25.7049
"3" "Justin Tucker" "3.96-14.84" 2.06 2.36 1.81 1.86 9.4 "#26" 0.05 0.3 8.45 14.84 3.96 5.44 29.5936
"1" "Matt Prater" "4.73-13.83" 2.06 2.34 2.37 2.37 9.28 "#9" 0 0.28 8.44 13.83 4.73 4.55 20.7025
"4" "Stephen Gostkowski" "4.79-14.07" 2.15 2.47 2.1 2.13 9.43 "#13" 0.0299999999999998 0.32 8.44 14.07 4.79 4.64 21.5296
"5" "Wil Lutz" "5.25-13.33" 1.9 2.16 2.82 2.9 9.29 "#12" 0.0800000000000001 0.26 8.43 13.33 5.25 4.04 16.3216
"1" "Josh Lambo" "4.56-13.28" 2.02 2.18 2.01 2.03 8.92 "#15" 0.02 0.16 8.42 13.28 4.56 4.36 19.0096
"4" "Matt Bryant" "4.63-14.27" 1.74 2.07 2.85 2.9 9.45 "#11" 0.0499999999999998 0.33 8.41 14.27 4.63 4.82 23.2324
"12" "Ka'imi Fairbairn" "5.35-13.37" 2.01 2.32 2.41 2.45 9.36 "#23" 0.04 0.31 8.39 13.37 5.35 4.01 16.0801
"3" "Graham Gano" "4.58-13.80" 1.9 2.16 2.68 2.7 9.19 "#11" 0.02 0.26 8.39 13.8 4.58 4.61 21.2521
"16" "Graham Gano" "5.28-12.70" 1.73 1.93 2.9 2.92 8.99 "#32" 0.02 0.2 8.37 12.7 5.28 3.71 13.7641
"14" "Ka'imi Fairbairn" "5.26-13.36" 1.94 2.24 2.74 2.78 9.31 "#22" 0.0399999999999996 0.3 8.37 13.36 5.26 4.05 16.4025
"1" "Stephen Gostkowski" "5.52-13.12" 1.8 2.08 3.2 3.31 9.32 "#25" 0.11 0.28 8.37 13.12 5.52 3.8 14.44
"15" "Stephen Gostkowski" "5.32-13.02" 1.98 2.24 2.34 2.36 9.17 "#8" 0.02 0.26 8.37 13.02 5.32 3.85 14.8225
"3" "Matt Bryant" "4.37-14.39" 1.81 2.14 2.87 2.91 9.38 "#27" 0.04 0.33 8.35 14.39 4.37 5.01 25.1001
"13" "Graham Gano" "4.98-12.58" 1.64 1.77 3.17 3.21 8.78 "#29" 0.04 0.13 8.35 12.58 4.98 3.8 14.44
"5" "Matt Bryant" "5.52-12.28" 1.73 1.92 2.9 2.9 8.9 "#8" 0 0.19 8.33 12.28 5.52 3.38 11.4244
"4" "Caleb Sturgis" "5.02-12.76" 1.64 1.83 3.5 3.51 8.89 "#20" 0.00999999999999979 0.19 8.31 12.76 5.02 3.87 14.9769
"15" "Harrison Butker" "4.96-13.38" 1.84 2.1 2.84 2.92 9.17 "#17" 0.0800000000000001 0.26 8.31 13.38 4.96 4.21 17.7241
"3" "Harrison Butker" "5.45-13.07" 1.94 2.26 2.87 2.87 9.26 "#20" 0 0.32 8.3 13.07 5.45 3.81 14.5161
"17" "Justin Tucker" "4.38-13.48" 1.91 2.12 2.24 2.24 8.93 "#1" 0 0.21 8.3 13.48 4.38 4.55 20.7025
"10" "Wil Lutz" "5.40-12.48" 1.88 2.07 2.6 2.68 8.94 "#11" 0.0800000000000001 0.19 8.29 12.48 5.4 3.54 12.5316
"1" "Graham Gano" "4.23-13.69" 1.89 2.1 2.42 2.48 8.96 "#16" 0.0600000000000001 0.21 8.27 13.69 4.23 4.73 22.3729
"2" "Cody Parkey" "4.70-13.40" 2.02 2.29 1.73 1.73 9.05 "#7" 0 0.27 8.24 13.4 4.7 4.35 18.9225
"16" "Ryan Succop" "5.11-13.11" 1.93 2.23 2.45 2.45 9.11 "#12" 0 0.3 8.21 13.11 5.11 4 16
"7" "Aldrick Rosas" "4.25-13.81" 1.94 2.21 2.27 2.29 9.03 "#32" 0.02 0.27 8.2 13.81 4.25 4.78 22.8484
"13" "Caleb Sturgis" "4.16-13.68" 1.87 2.08 2.47 2.56 8.92 "#8" 0.0899999999999999 0.21 8.2 13.68 4.16 4.76 22.6576
"7" "Josh Lambo" "5.07-12.35" 1.66 1.79 3.05 3.17 8.71 "#25" 0.12 0.13 8.2 12.35 5.07 3.64 13.2496
"12" "Brett Maher" "5.35-13.35" 1.89 2.26 2.68 2.74 9.35 "#12" 0.0600000000000001 0.37 8.18 13.35 5.35 4 16
"17" "Harrison Butker" "4.78-12.80" 1.65 1.83 3.25 3.32 8.79 "#28" 0.0699999999999998 0.18 8.18 12.8 4.78 4.01 16.0801
