"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"11" "Harrison Butker" "5.57-12.57" 1.7 1.86 3.25 3.32 9.07 "#17" 0.0699999999999998 0.16 8.52 12.57 5.57 3.5 12.25
"10" "Graham Gano" "5.86-12.48" 1.89 2.11 2.65 2.67 9.17 "#8" 0.02 0.22 8.49 12.48 5.86 3.31 10.9561
"4" "Josh Lambo" "3.22-15.38" 2.08 2.35 2.8 2.8 9.3 "#16" 0 0.27 8.49 15.38 3.22 6.08 36.9664
"6" "Stephen Gostkowski" "5.38-13.36" 1.78 2.06 3.38 3.42 9.37 "#27" 0.04 0.28 8.49 13.36 5.38 3.99 15.9201
"7" "Robbie Gould" "4.67-12.63" 1.86 1.91 1.89 1.91 8.65 "#17" 0.02 0.0499999999999998 8.48 12.63 4.67 3.98 15.8404
"4" "Justin Tucker" "4.51-13.79" 1.99 2.21 2.64 2.66 9.15 "#8" 0.02 0.22 8.47 13.79 4.51 4.64 21.5296
"16" "Brett Maher" "4.86-13.34" 1.85 2.05 2.98 3.02 9.1 "#29" 0.04 0.2 8.46 13.34 4.86 4.24 17.9776
"3" "Justin Tucker" "3.96-14.84" 2.06 2.36 1.81 1.86 9.4 "#10" 0.05 0.3 8.45 14.84 3.96 5.44 29.5936
"1" "Matt Prater" "4.73-13.83" 2.06 2.34 2.37 2.37 9.28 "#16" 0 0.28 8.44 13.83 4.73 4.55 20.7025
"4" "Stephen Gostkowski" "4.79-14.07" 2.15 2.47 2.1 2.13 9.43 "#28" 0.0299999999999998 0.32 8.44 14.07 4.79 4.64 21.5296
"11" "Matt Bryant" "-0.61-19.37" 1.95 2.23 2.53 2.64 9.38 "#12" 0.11 0.28 8.43 19.37 -0.61 9.99 99.8001
"5" "Wil Lutz" "5.25-13.33" 1.9 2.16 2.82 2.9 9.29 "#7" 0.0800000000000001 0.26 8.43 13.33 5.25 4.04 16.3216
"12" "Robbie Gould" "4.83-12.97" 1.79 1.93 2.7 2.76 8.9 "#29" 0.0599999999999996 0.14 8.42 12.97 4.83 4.07 16.5649
"1" "Josh Lambo" "4.56-13.28" 2.02 2.18 2.01 2.03 8.92 "#24" 0.02 0.16 8.42 13.28 4.56 4.36 19.0096
"4" "Matt Bryant" "4.63-14.27" 1.74 2.07 2.85 2.9 9.45 "#20" 0.0499999999999998 0.33 8.41 14.27 4.63 4.82 23.2324
"16" "Matt Bryant" "5.15-13.09" 1.81 2.04 2.63 2.65 9.12 "#25" 0.02 0.23 8.41 13.09 5.15 3.97 15.7609
"16" "Sebastian Janikowski" "5.06-13.50" 1.77 2.06 3.07 3.07 9.28 "#27" 0 0.29 8.41 13.5 5.06 4.22 17.8084
