"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"2" "Greg Zuerlein" "4.93-16.37" 2.17 2.36 2.88 2.88 10.65 "#11" 0 0.19 10.08 16.37 4.93 5.72 32.7184
"12" "Wil Lutz" "6.73-14.77" 2.04 2.33 4.05 4.1 10.75 "#32" 0.0499999999999998 0.29 9.83 14.77 6.73 4.02 16.1604
"9" "Graham Gano" "5.85-15.17" 1.92 2.17 3.76 3.78 10.51 "#28" 0.02 0.25 9.74 15.17 5.85 4.66 21.7156
"13" "Sebastian Janikowski" "5.66-14.46" 1.83 1.95 3.91 3.93 10.06 "#25" 0.02 0.12 9.68 14.46 5.66 4.4 19.36
"14" "Mike Badgley" "6.11-14.37" 2.06 2.22 3.22 3.31 10.24 "#23" 0.0899999999999999 0.16 9.67 14.37 6.11 4.13 17.0569
"2" "Wil Lutz" "5.68-14.42" 1.89 2.02 3.64 3.66 10.05 "#3" 0.02 0.13 9.64 14.42 5.68 4.37 19.0969
"11" "Graham Gano" "5.23-15.19" 1.79 2 3.67 3.68 10.21 "#29" 0.0100000000000002 0.21 9.57 15.19 5.23 4.98 24.8004
"15" "Justin Tucker" "6.12-14.58" 2.22 2.45 2.71 2.8 10.35 "#28" 0.0899999999999999 0.23 9.57 14.58 6.12 4.23 17.8929
"1" "Wil Lutz" "6.05-13.95" 1.9 2.12 3.55 3.59 10 "#28" 0.04 0.22 9.3 13.95 6.05 3.95 15.6025
"11" "Wil Lutz" "5.75-14.65" 1.9 2.2 3.71 3.71 10.2 "#19" 0 0.3 9.3 14.65 5.75 4.45 19.8025
"10" "Harrison Butker" "5.91-14.33" 1.94 2.23 3.61 3.62 10.12 "#11" 0.0100000000000002 0.29 9.24 14.33 5.91 4.21 17.7241
"1" "Greg Zuerlein" "6.39-13.49" 1.93 2.16 3.25 3.26 9.94 "#30" 0.00999999999999979 0.23 9.24 13.49 6.39 3.55 12.6025
"2" "Robbie Gould" "3.99-15.43" 2 2.16 2.78 2.83 9.71 "#29" 0.0500000000000003 0.16 9.18 15.43 3.99 5.72 32.7184
"8" "Greg Zuerlein" "7.09-14.05" 1.83 2.22 4.15 4.41 10.57 "#26" 0.26 0.39 9.14 14.05 7.09 3.48 12.1104
"17" "Wil Lutz" "5.47-14.51" 2.03 2.28 3.09 3.19 9.99 "#24" 0.1 0.25 9.14 14.51 5.47 4.52 20.4304
"3" "Josh Lambo" "5.16-14.26" 2.11 2.31 2.31 2.34 9.71 "#20" 0.0299999999999998 0.2 9.08 14.26 5.16 4.55 20.7025
"10" "Wil Lutz" "5.31-14.25" 1.94 2.17 3.32 3.37 9.78 "#23" 0.0500000000000003 0.23 9.04 14.25 5.31 4.47 19.9809
