"Week" "Player" "range" "pts_all" "sacks" "INT" "fum" "SAF" "TD" "rnk" "max" "min" "std" "Var" "pts_all_grp" "pts_all_score" "yrds_est" "yrds_all_grp" "yrds_all_score" "Full_Proj"
"3" "Vikings D/ST" "4.71-16.87" 12.51 2.32 0.89 0.71 0.05 0.32 "#31" 16.87 4.71 6.08 36.9664 3 3 295.052 3 2 12.54
"2" "Rams D/ST" "6.96-19.84" 15.35 3.54 1.5 0.92 0.04 0.42 "#32" 19.84 6.96 6.44 41.4736 4 1 309.82 4 0 11.98
"17" "Bears D/ST" "6.19-20.43" 13.78 3.1 1.6 0.96 0.04 0.42 "#23" 20.43 6.19 7.12 50.6944 4 1 301.656 4 0 11.82
"17" "Ravens D/ST" "6.31-20.51" 13.97 3.28 1.4 0.78 0.12 0.46 "#27" 20.51 6.31 7.1 50.41 4 1 302.644 4 0 11.64
"10" "Jets D/ST" "5.57-14.11" 12.83 2.26 0.89 0.53 0.01 0.25 "#31" 14.11 5.57 4.27 18.2329 3 3 296.716 3 2 11.62
"1" "Ravens D/ST" "6.47-17.25" 16.72 3.11 1.56 0.66 0.1 0.35 "#31" 17.25 6.47 5.39 29.0521 4 1 316.944 4 0 10.85
"1" "Jaguars D/ST" "5.18-19.26" 14.21 3.18 1.24 0.76 0.08 0.34 "#20" 19.26 5.18 7.04 49.5616 4 1 303.892 4 0 10.38
"5" "Ravens D/ST" "4.18-12.00" 13.34 1.66 0.7 0.45 0.04 0.2 "#27" 12 4.18 3.91 15.2881 3 3 299.368 3 2 10.24
"17" "Seahawks D/ST" "4.41-17.45" 16.58 3.03 1.1 1.06 0.06 0.26 "#32" 17.45 4.41 6.52 42.5104 4 1 316.216 4 0 10.03
"1" "Vikings D/ST" "4.09-18.43" 15.49 2.9 1.18 0.72 0.04 0.3 "#25" 18.43 4.09 7.17 51.4089 4 1 310.548 4 0 9.58
"10" "Bills D/ST" "3.91-11.61" 11.75 1.66 0.54 0.45 0.01 0.13 "#30" 11.61 3.91 3.85 14.8225 3 3 291.1 3 2 9.44
"13" "Packers D/ST" "3.69-16.59" 17.23 2.38 1.14 0.57 0.02 0.43 "#32" 16.59 3.69 6.45 41.6025 4 1 319.596 4 0 9.42
"1" "Seahawks D/ST" "4.13-16.29" 16.34 3.02 1.16 0.72 0.02 0.26 "#17" 16.29 4.13 6.08 36.9664 4 1 314.968 4 0 9.38
"17" "Texans D/ST" "3.72-17.40" 15.37 2.79 1.06 0.9 0.08 0.24 "#29" 17.4 3.72 6.84 46.7856 4 1 309.924 4 0 9.31
"16" "Titans D/ST" "2.56-16.60" 22.16 2.57 1.15 0.73 0.02 0.46 "#28" 16.6 2.56 7.02 49.2804 5 0 345.232 4 0 9.13
"1" "Redskins D/ST" "4.97-16.75" 17.6 2.79 1.46 0.53 0.02 0.37 "#32" 16.75 4.97 5.89 34.6921 5 0 321.52 4 0 9.03
"17" "Browns D/ST" "4.36-15.50" 16.78 2.66 1.26 0.62 0.06 0.24 "#16" 15.5 4.36 5.57 31.0249 4 1 317.256 4 0 8.98
"2" "Seahawks D/ST" "3.37-15.73" 16.85 3.1 1.16 0.8 0.02 0.14 "#14" 15.73 3.37 6.18 38.1924 4 1 317.62 4 0 8.9
"6" "Texans D/ST" "2.09-16.65" 22.94 3.4 0.95 1.05 0.02 0.24 "#31" 16.65 2.09 7.28 52.9984 5 0 349.288 4 0 8.88
"2" "Texans D/ST" "2.99-16.23" 22.84 3.42 1.22 1.08 0.04 0.12 "#18" 16.23 2.99 6.62 43.8244 5 0 348.768 4 0 8.82
"2" "Broncos D/ST" "2.66-15.96" 21.88 2.86 1.08 0.66 0.06 0.38 "#26" 15.96 2.66 6.65 44.2225 5 0 343.776 4 0 8.74
"14" "Chargers D/ST" "3.41-16.11" 20.33 2.89 1.17 0.78 0.06 0.3 "#21" 16.11 3.41 6.35 40.3225 5 0 335.716 4 0 8.71
"2" "Chargers D/ST" "1.37-17.85" 19.46 2.77 1.42 0.88 0.09 0.19 "#31" 17.85 1.37 8.24 67.8976 5 0 331.192 4 0 8.69
"2" "Saints D/ST" "3.61-15.35" 17.02 2.27 1.17 0.68 0.02 0.27 "#27" 15.35 3.61 5.87 34.4569 4 1 318.504 4 0 8.63
"3" "Jaguars D/ST" "5.28-14.44" 15.14 2.57 1.17 0.49 0.03 0.27 "#18" 14.44 5.28 4.58 20.9764 4 1 308.728 4 0 8.57
"12" "Patriots D/ST" "3.57-15.39" 16.55 2.57 1.2 0.67 0.04 0.19 "#30" 15.39 3.57 5.91 34.9281 4 1 316.06 4 0 8.53
"2" "Lions D/ST" "2.72-15.64" 21.36 2.12 1.4 0.68 0.04 0.36 "#25" 15.64 2.72 6.46 41.7316 5 0 341.072 4 0 8.52
"10" "Chiefs D/ST" "4.30-15.44" 19.41 2.76 1.08 0.8 0.06 0.31 "#32" 15.44 4.3 5.57 31.0249 5 0 330.932 4 0 8.5
"14" "Titans D/ST" "2.36-15.56" 22.93 2.6 1.21 0.74 0.02 0.32 "#29" 15.56 2.36 6.6 43.56 5 0 349.236 4 0 8.46
"16" "Patriots D/ST" "3.66-15.32" 17.24 2.44 1.13 0.75 0 0.2 "#31" 15.32 3.66 5.83 33.9889 4 1 319.648 4 0 8.4
"13" "Titans D/ST" "1.66-16.74" 21.34 2.43 1.09 0.77 0.04 0.36 "#30" 16.74 1.66 7.54 56.8516 5 0 340.968 4 0 8.39
"9" "Bears D/ST" "4.86-14.56" 14.54 2.28 0.9 0.72 0.05 0.29 "#31" 14.56 4.86 4.85 23.5225 4 1 305.608 4 0 8.36
"4" "Packers D/ST" "1.43-15.97" 22.29 2.78 1.07 0.87 0.07 0.26 "#31" 15.97 1.43 7.27 52.8529 5 0 345.908 4 0 8.36
"17" "Steelers D/ST" "2.68-15.34" 21.89 2.08 1.32 0.76 0.04 0.34 "#21" 15.34 2.68 6.33 40.0689 5 0 343.828 4 0 8.36
"2" "Jets D/ST" "4.33-14.41" 15.78 2.58 1.1 0.72 0.02 0.18 "#24" 14.41 4.33 5.04 25.4016 4 1 312.056 4 0 8.34
"16" "Rams D/ST" "5.14-15.20" 14.16 2.13 0.97 0.55 0.04 0.34 "#32" 15.2 5.14 5.03 25.3009 4 1 303.632 4 0 8.29
"15" "Rams D/ST" "3.75-14.65" 20.41 2.49 1.19 0.86 0.06 0.26 "#15" 14.65 3.75 5.45 29.7025 5 0 336.132 4 0 8.27
"15" "Texans D/ST" "3.35-14.77" 17.03 2.31 0.94 0.67 0.06 0.27 "#30" 14.77 3.35 5.71 32.6041 4 1 318.556 4 0 8.27
"2" "Redskins D/ST" "2.66-14.82" 21.72 2.12 1.36 0.7 0.04 0.32 "#7" 14.82 2.66 6.08 36.9664 5 0 342.944 4 0 8.24
"10" "Packers D/ST" "1.09-16.37" 26.37 3.22 1.11 0.76 0.05 0.36 "#24" 16.37 1.09 7.64 58.3696 5 0 367.124 5 -1 8.22
