"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"2" "Greg Zuerlein" "4.93-16.37" 2.17 2.36 2.88 2.88 10.65 "#10" 0 0.19 10.08 16.37 4.93 5.72 32.7184
"1" "Caleb Sturgis" "5.43-16.15" 2.18 2.52 3.29 3.29 10.79 "#30" 0 0.34 9.77 16.15 5.43 5.36 28.7296
"2" "Wil Lutz" "5.68-14.42" 1.89 2.02 3.64 3.66 10.05 "#1" 0.02 0.13 9.64 14.42 5.68 4.37 19.0969
"1" "Wil Lutz" "6.05-13.95" 1.9 2.12 3.55 3.59 10 "#28" 0.04 0.22 9.3 13.95 6.05 3.95 15.6025
"1" "Greg Zuerlein" "6.39-13.49" 1.93 2.16 3.25 3.26 9.94 "#27" 0.00999999999999979 0.23 9.24 13.49 6.39 3.55 12.6025
"8" "Greg Zuerlein" "7.13-14.35" 1.9 2.32 4.31 4.57 10.74 "#23" 0.260000000000001 0.42 9.22 14.35 7.13 3.61 13.0321
"17" "Matt Bryant" "5.21-13.77" 1.87 1.94 2.8 2.88 9.49 "#28" 0.0800000000000001 0.0699999999999998 9.2 13.77 5.21 4.28 18.3184
"2" "Robbie Gould" "3.99-15.43" 2 2.16 2.78 2.83 9.71 "#31" 0.0500000000000003 0.16 9.18 15.43 3.99 5.72 32.7184
"8" "Stephen Gostkowski" "5.09-14.59" 1.95 2.18 3.25 3.3 9.84 "#6" 0.0499999999999998 0.23 9.1 14.59 5.09 4.75 22.5625
"15" "Stephen Hauschka" "4.97-14.57" 2.2 2.42 2.11 2.13 9.77 "#31" 0.02 0.22 9.09 14.57 4.97 4.8 23.04
"15" "Justin Tucker" "5.54-14.38" 2.02 2.3 2.98 3.02 9.96 "#28" 0.04 0.28 9.08 14.38 5.54 4.42 19.5364
"3" "Josh Lambo" "5.16-14.26" 2.11 2.31 2.31 2.34 9.71 "#24" 0.0299999999999998 0.2 9.08 14.26 5.16 4.55 20.7025
"7" "Greg Zuerlein" "7.09-13.69" 1.84 2.25 3.94 4.09 10.39 "#21" 0.15 0.41 9.01 13.69 7.09 3.3 10.89
"5" "Mason Crosby" "5.27-15.15" 1.97 2.37 3.52 3.52 10.21 "#31" 0 0.4 9.01 15.15 5.27 4.94 24.4036
"6" "Matt Bryant" "6.02-13.22" 1.86 2.07 3.14 3.16 9.62 "#28" 0.02 0.21 8.97 13.22 6.02 3.6 12.96
"16" "Brett Maher" "5.88-14.02" 2.03 2.36 3.08 3.1 9.95 "#28" 0.02 0.33 8.94 14.02 5.88 4.07 16.5649
"5" "Graham Gano" "5.12-14.12" 1.98 2.21 2.72 2.72 9.62 "#25" 0 0.23 8.93 14.12 5.12 4.5 20.25
"1" "Justin Tucker" "3.57-15.53" 1.93 2.12 2.98 3.03 9.55 "#6" 0.0499999999999998 0.19 8.93 15.53 3.57 5.98 35.7604
"7" "Harrison Butker" "4.90-14.60" 1.89 2.14 3.19 3.27 9.75 "#20" 0.0800000000000001 0.25 8.92 14.6 4.9 4.85 23.5225
"14" "Stephen Gostkowski" "5.45-13.37" 1.87 2 2.85 2.95 9.41 "#26" 0.1 0.13 8.92 13.37 5.45 3.96 15.6816
"16" "Graham Gano" "5.20-13.32" 1.71 1.83 3.43 3.45 9.26 "#32" 0.02 0.12 8.88 13.32 5.2 4.06 16.4836
"8" "Robbie Gould" "3.75-15.01" 2.07 2.25 2.25 2.25 9.38 "#10" 0 0.18 8.84 15.01 3.75 5.63 31.6969
"9" "Stephen Gostkowski" "5.58-13.16" 1.83 1.97 3.08 3.19 9.37 "#23" 0.11 0.14 8.84 13.16 5.58 3.79 14.3641
"10" "Robbie Gould" "4.49-14.25" 2.06 2.24 2.22 2.22 9.37 "#25" 0 0.18 8.83 14.25 4.49 4.88 23.8144
"2" "Justin Tucker" "4.01-14.67" 1.98 2.15 2.31 2.33 9.34 "#20" 0.02 0.17 8.81 14.67 4.01 5.33 28.4089
"15" "Jason Myers" "4.97-14.47" 2.1 2.37 2.38 2.51 9.72 "#19" 0.13 0.27 8.78 14.47 4.97 4.75 22.5625
"5" "Robbie Gould" "3.58-15.22" 2.01 2.22 2.34 2.34 9.4 "#10" 0 0.21 8.77 15.22 3.58 5.82 33.8724
"3" "Stephen Gostkowski" "5.44-13.94" 1.82 2.1 3.6 3.71 9.69 "#31" 0.11 0.28 8.74 13.94 5.44 4.25 18.0625
