"Player" "Pos" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17"
"A.J. Derby" "TE" 1.73 1.73 2.65 0 0 0 1.88 1.83 1.36 1.61 NA 1.71 1.64 1.59 1.4 1.63 1.59
"A.J. Green" "WR" 12.65 10.69 11.96 9.6 11.17 11.93 10.9 14.95 NA 10.49 10.9 10.46 9.61 8.98 13.81 10.1 8.93
"A.J. McCarron" "QB" 0.54 0.5 0.63 0.61 0.57 0.58 NA 0.61 0.57 0.54 0.53 0.53 0.69 0.7 0.69 0.55 0.66
"Aaron Jones" "RB" 0 0 5.42 5.58 8.76 7.16 NA 6.59 6.64 6.42 4.38 5.93 5.64 6.7 5.41 5.5 6.69
"Aaron Rodgers" "QB" 22.36 19.52 20.7 22.61 21.59 21.89 NA 20.42 22.86 21.51 18.29 19.44 18.88 24.49 17.18 19.32 24.78
"Adam Humphries" "WR" 2.14 2.32 2.2 3.92 NA 3.72 2.88 3.25 3.2 2.75 3.62 3.57 3.3 3.86 2.63 3.5 3.88
"Adam Shaheen" "TE" 0 0 0 0 NA 0 0 0.61 0.63 0.57 0.61 0.54 0.5 0.56 0.55 0.5 0.58
"Adam Thielen" "WR" 11.05 10.03 11.35 9.78 12.27 13.17 13.33 14.2 14.32 NA 12.66 13.37 12.53 12.88 12.98 13.84 13.09
"Adrian Peterson" "RB" 3.71 9.35 9.32 NA 9.69 11.34 10.35 9.68 11.92 11.23 10.76 9.56 8.09 10.35 7.11 10.65 8.72
"Alan Cross" "TE" 0.67 0.57 0.54 0.49 NA 1.06 0.41 0.38 0.42 0.4 0.45 0.48 0.44 0.52 0.39 0.43 0.51
"Albert Wilson" "WR" 4.01 3.73 4.78 4.57 5.13 4.96 4.6 4.13 4.58 4.33 NA 4.34 4.03 4.98 4.06 3.63 3.93
"Aldrick Robinson" "WR" NA NA 0.5 0.43 2.13 0.51 0.55 0.61 0.65 NA 0.53 0.58 0.56 0.49 0.63 0.62 0.54
"Alex Armah" "RB" 0.69 0.61 0.63 NA 0.59 0.39 0.33 0.28 0.54 0.35 0.46 0.33 0.5 0.33 0.45 0.5 0.41
"Alex Collins" "RB" 10.28 8.1 9.93 9.97 7.62 5.99 6.95 5.76 5.6 NA 6.52 7.69 6.87 6.81 7.58 5.59 6.15
"Alex Erickson" "WR" 0.47 0.5 0.79 0.82 1.26 1.07 0.42 0.44 NA 0.48 0.45 0.5 0.45 0.46 0.5 0.48 0.51
"Alex Smith" "QB" 14.97 20.24 18.71 NA 19.7 19.02 18.6 18.15 20.41 20.81 20.87 17.48 15.04 19.36 14.19 18.36 16.04
"Alex Tanney" "QB" 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"Alfred Blue" "RB" 3.38 2.71 4.54 4.98 8.86 6.58 3.89 6.06 5.71 NA 6.22 6.01 6.58 6.55 4.99 6.08 4.13
"Alfred Morris" "RB" 5.23 7.48 8.35 6.96 6.2 7.45 6.35 4.71 6.57 7.41 NA 5.83 4.58 5.8 4.96 4.7 5.74
"Allen Hurns" "WR" 4.5 4.92 4.66 4.73 4.9 4.48 4.09 NA 4.35 4.82 4.26 4.3 3.96 4.96 3.69 4.98 3.83
"Allen Robinson" "WR" 8.56 8.46 8.4 7.7 NA 8.03 7.18 7.07 7.53 8.23 7.47 7.9 7.28 7.01 7.41 7.13 7.21
"Alshon Jeffery" "WR" 0 0 0 3.85 9.19 9.03 9.27 8.22 NA 10.27 8.28 8.62 7.48 9.88 6.97 11.31 7.21
"Alvin Kamara" "RB" 19.29 18.49 16.06 17.7 17.45 NA 12.5 12.47 13.47 12.6 13.27 13.37 12.47 12.43 12.48 13.38 13.31
"Amari Cooper" "WR" 8.35 8.45 8.25 10.1 9.01 7.5 NA 9.59 8.06 6.58 6.08 6.45 8.67 6.07 7.29 6.25 8.44
"Ameer Abdullah" "RB" 0 0 1.71 0 2.31 NA 1.87 1.95 1.8 1.74 1.95 1.85 2.32 1.73 1.66 1.93 2.46
"Andre Holmes" "WR" 0.97 0.44 0.45 0.53 0.39 2.02 1.65 1.85 2.35 2.2 NA 2.26 1.55 2.24 1.87 1.83 1.56
"Andre Roberts" "WR" NA NA 0.43 0.26 0.27 0.24 0.28 0.2 0.24 0.24 NA 0.24 0.26 0.24 0.26 0.24 0.23
