"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"2" "Greg Zuerlein" "4.93-16.37" 2.17 2.36 2.88 2.88 10.65 "#11" 0 0.19 10.08 16.37 4.93 5.72 32.7184
"16" "Graham Gano" "5.76-15.30" 1.89 2.11 3.68 3.7 10.53 "#31" 0.02 0.22 9.85 15.3 5.76 4.77 22.7529
"1" "Caleb Sturgis" "5.43-16.15" 2.18 2.52 3.29 3.29 10.79 "#28" 0 0.34 9.77 16.15 5.43 5.36 28.7296
"2" "Wil Lutz" "5.68-14.42" 1.89 2.02 3.64 3.66 10.05 "#1" 0.02 0.13 9.64 14.42 5.68 4.37 19.0969
"9" "Graham Gano" "5.81-14.99" 1.9 2.15 3.74 3.76 10.4 "#27" 0.0199999999999996 0.25 9.63 14.99 5.81 4.59 21.0681
"15" "Graham Gano" "5.38-14.90" 1.93 2.1 3.28 3.3 10.14 "#26" 0.02 0.17 9.61 14.9 5.38 4.76 22.6576
"12" "Justin Tucker" "5.94-15.00" 2.22 2.48 2.8 2.88 10.47 "#30" 0.0800000000000001 0.26 9.61 15 5.94 4.53 20.5209
"1" "Wil Lutz" "6.05-13.95" 1.9 2.12 3.55 3.59 10 "#27" 0.04 0.22 9.3 13.95 6.05 3.95 15.6025
"1" "Greg Zuerlein" "6.39-13.49" 1.93 2.16 3.25 3.26 9.94 "#30" 0.00999999999999979 0.23 9.24 13.49 6.39 3.55 12.6025
"2" "Robbie Gould" "3.99-15.43" 2 2.16 2.78 2.83 9.71 "#32" 0.0500000000000003 0.16 9.18 15.43 3.99 5.72 32.7184
"13" "Justin Tucker" "5.75-14.11" 2.1 2.33 2.66 2.74 9.93 "#31" 0.0800000000000001 0.23 9.16 14.11 5.75 4.18 17.4724
"8" "Greg Zuerlein" "7.09-14.05" 1.83 2.22 4.15 4.41 10.57 "#19" 0.26 0.39 9.14 14.05 7.09 3.48 12.1104
"17" "Graham Gano" "5.09-14.09" 1.83 1.98 3.1 3.12 9.59 "#26" 0.02 0.15 9.12 14.09 5.09 4.5 20.25
"3" "Josh Lambo" "5.16-14.26" 2.11 2.31 2.31 2.34 9.71 "#20" 0.0299999999999998 0.2 9.08 14.26 5.16 4.55 20.7025
"17" "Wil Lutz" "6.00-14.18" 2.07 2.38 2.99 3.11 10.09 "#18" 0.12 0.31 9.04 14.18 6 4.09 16.7281
"8" "Stephen Gostkowski" "5.35-14.17" 1.92 2.15 3.21 3.26 9.76 "#3" 0.0499999999999998 0.23 9.02 14.17 5.35 4.41 19.4481
"7" "Greg Zuerlein" "7.09-13.69" 1.84 2.25 3.94 4.09 10.39 "#25" 0.15 0.41 9.01 13.69 7.09 3.3 10.89
"5" "Mason Crosby" "5.27-15.15" 1.97 2.37 3.52 3.52 10.21 "#32" 0 0.4 9.01 15.15 5.27 4.94 24.4036
"11" "Graham Gano" "5.17-14.29" 1.74 1.98 3.47 3.49 9.73 "#32" 0.02 0.24 8.99 14.29 5.17 4.56 20.7936
"15" "Justin Tucker" "5.13-13.83" 2 2.14 2.61 2.69 9.48 "#27" 0.0800000000000001 0.14 8.98 13.83 5.13 4.35 18.9225
"6" "Matt Bryant" "6.02-13.22" 1.86 2.07 3.14 3.16 9.62 "#27" 0.02 0.21 8.97 13.22 6.02 3.6 12.96
