"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"2" "Greg Zuerlein" "4.93-16.37" 2.17 2.36 2.88 2.88 10.65 "#13" 0 0.19 10.08 16.37 4.93 5.72 32.7184
"1" "Caleb Sturgis" "5.43-16.15" 2.18 2.52 3.29 3.29 10.79 "#32" 0 0.34 9.77 16.15 5.43 5.36 28.7296
"6" "Matt Bryant" "6.64-13.88" 1.96 2.16 3.66 3.66 10.26 "#31" 0 0.2 9.66 13.88 6.64 3.62 13.1044
"2" "Wil Lutz" "5.68-14.42" 1.89 2.02 3.64 3.66 10.05 "#2" 0.02 0.13 9.64 14.42 5.68 4.37 19.0969
"1" "Wil Lutz" "6.05-13.95" 1.9 2.12 3.55 3.59 10 "#31" 0.04 0.22 9.3 13.95 6.05 3.95 15.6025
"1" "Greg Zuerlein" "6.39-13.49" 1.93 2.16 3.25 3.26 9.94 "#25" 0.00999999999999979 0.23 9.24 13.49 6.39 3.55 12.6025
"2" "Robbie Gould" "3.99-15.43" 2 2.16 2.78 2.83 9.71 "#28" 0.0500000000000003 0.16 9.18 15.43 3.99 5.72 32.7184
"5" "Mason Crosby" "5.30-15.60" 2.03 2.46 3.66 3.66 10.45 "#28" 0 0.43 9.16 15.6 5.3 5.15 26.5225
"17" "Matt Bryant" "6.28-13.12" 1.85 2.04 3.46 3.46 9.7 "#31" 0 0.19 9.13 13.12 6.28 3.42 11.6964
"14" "Justin Tucker" "5.76-13.78" 1.94 2.16 3.05 3.07 9.77 "#32" 0.02 0.22 9.09 13.78 5.76 4.01 16.0801
"3" "Josh Lambo" "5.16-14.26" 2.11 2.31 2.31 2.34 9.71 "#14" 0.0299999999999998 0.2 9.08 14.26 5.16 4.55 20.7025
"15" "Justin Tucker" "5.40-13.60" 1.91 2.05 3.03 3.07 9.5 "#31" 0.04 0.14 9.04 13.6 5.4 4.1 16.81
"12" "Wil Lutz" "6.02-13.84" 2.04 2.3 2.92 3.04 9.93 "#29" 0.12 0.26 9.03 13.84 6.02 3.91 15.2881
"9" "Stephen Gostkowski" "5.97-14.29" 2.12 2.49 2.9 2.9 10.13 "#21" 0 0.37 9.02 14.29 5.97 4.16 17.3056
