"Player" "Pos" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17"
"A.J. Derby" "TE" 1.73 1.73 2.65 0 2.01 1.46 1.9 2.15 1.53 2.1 NA 1.85 2.37 2.5 1.76 2.02 2.25
"A.J. Green" "WR" 12.65 10.69 11.96 9.6 11.17 9.6 11.13 12.59 NA 10.37 11.09 10.34 10.49 9.99 12.2 9.96 9.29
"A.J. McCarron" "QB" 0.54 0.5 0.63 0.61 0.57 0.64 NA 0.73 0.67 0.61 0.55 0.52 0.86 0.66 0.62 0.62 0.81
"Aaron Jones" "RB" 0 0 5.42 5.58 7.42 8.28 NA 6.04 6.91 8.05 5.74 5.84 6.24 8.36 5.54 5.67 8.04
"Aaron Rodgers" "QB" 22.36 19.52 20.7 22.61 21.59 21.25 NA 21.26 20.71 20.83 18.64 21.55 20.54 23.91 19.95 20.19 23
"Adam Humphries" "WR" 2.14 2.32 2.2 3.92 NA 3.47 3.88 3.76 3.51 2.99 3.26 3.97 3.62 3.39 3.65 3.47 3.55
"Adam Shaheen" "TE" 0 0 0 0 NA 0 0 0.57 0.46 0.55 0.59 0.53 0.53 0.51 0.59 0.55 0.56
"Adam Thielen" "WR" 11.05 10.03 11.35 9.78 12.27 12.69 12.89 12.78 12.75 NA 10.94 12.88 11.06 11.89 12.74 12.27 11.32
"Adrian Peterson" "RB" 3.71 9.35 9.32 NA 9.69 9.93 11.28 10.31 11.24 10.34 11.55 10.31 7.75 11.24 7.49 8.84 8.29
"Alan Cross" "TE" 0.67 0.57 0.54 0.49 NA 0.4 0.41 0.36 0.39 0.38 0.38 0.51 0.41 0.51 0.37 0.5 0.41
"Albert Wilson" "WR" 4.01 3.73 4.78 4.57 4.65 3.29 4.85 4.27 3.55 4.7 NA 4.68 3.69 4.51 3.07 3.43 3.63
"Aldrick Robinson" "WR" NA NA 0.5 0.43 2.13 2.21 2.44 2.1 2.29 NA 1.94 2.1 1.85 2.44 2.13 2.29 2.13
"Alex Armah" "RB" 0.69 0.61 0.63 NA 0.59 0.53 0.43 0.42 0.63 0.56 0.56 0.52 0.59 0.53 0.68 0.67 0.62
"Alex Collins" "RB" 10.28 8.1 9.93 9.97 6.79 7.67 8.53 6.93 7.89 NA 7.26 8.12 7.52 7.18 8.61 6.91 6.06
"Alex Ellis" "TE" 0.4 0.48 0.55 0 0.63 0.6 0.65 0.66 0.58 0.61 0.57 NA 0.52 0.61 0.62 0.62 0.55
"Alex Erickson" "WR" 0.47 0.5 0.79 0.82 1.26 0.43 0.5 0.65 NA 0.58 0.51 0.45 0.41 0.47 0.55 0.44 0.43
"Alex Smith" "QB" 14.97 20.24 18.71 NA 19.7 18.8 20.69 18.61 21.56 21.24 22.17 19.44 16.72 19.96 15.97 20.61 17.71
"Alex Tanney" "QB" 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"Alfred Blue" "RB" 3.38 2.71 4.54 4.98 5.78 5.42 3.85 5.54 3.84 NA 5.48 5.06 4.46 5.45 3.8 3.93 4.17
"Alfred Morris" "RB" 5.23 7.48 8.35 6.96 6.2 5.86 7.66 5.71 5.61 7.24 NA 5.67 5.07 5.32 5.51 5.98 7.05
"Allen Hurns" "WR" 4.5 4.92 4.66 4.73 4.9 4.32 3.95 NA 4.99 4.56 3.87 4.09 4.48 4.7 4.14 5.28 3.95
"Allen Robinson" "WR" 8.56 8.46 8.4 7.7 NA 7.82 8.63 7.76 7.92 9.66 7.91 9.39 7.56 8.21 8.52 7.96 7.65
"Alshon Jeffery" "WR" 0 0 0 3.85 9.19 8.16 8.32 8.15 NA 9.07 9.27 8.42 9.07 8.8 8.01 9.83 8.74
"Alvin Kamara" "RB" 19.29 18.49 16.06 17.7 17.45 NA 15.91 15.88 17.28 15.87 16.92 17.22 15.86 15.81 15.91 17.24 17.04
"Amari Cooper" "WR" 8.35 8.45 8.25 10.1 9.01 8.51 NA 9.72 8.85 8.44 8.1 9.98 11.25 9.53 8.24 8.23 10.92
"Ameer Abdullah" "RB" 0 0 1.71 0 2.31 NA 2.02 1.54 1.74 1.47 1.59 1.54 2.12 1.48 1.43 1.85 2.16
"Andre Holmes" "WR" 0.97 0.44 0.45 0.53 0.39 0.46 0.41 0.42 0.42 0.41 NA 0.54 0.42 0.42 0.4 0.42 0.43
"Andre Roberts" "WR" NA NA 0.43 0.26 0.27 0.44 0.32 0.22 0.4 0.33 NA 0.44 0.34 0.32 0.42 0.44 0.42
"Andrew Luck" "QB" 18.05 15.88 14.26 18.38 16.92 15.28 15.76 19.39 NA 13.03 17.06 15.56 12.2 19.77 17.41 16.46 16.05
"Andy Dalton" "QB" 18.67 12.73 13.15 18.63 18.71 14.86 17.68 20.89 NA 16.65 13.38 15.53 15.8 13.51 19.06 14.63 14.07
"Andy Janovich" "RB" 0.84 0.85 1.25 1.01 1.34 1.19 1.24 1.02 1.24 NA 1.05 1.1 1.16 1.02 1.27 0.88 1.12
"Andy Jones" "WR" 0.51 0.54 0.47 0.56 0.6 NA 0.59 0.62 0.64 0.61 0.65 0.63 0.61 0.63 0.69 0.66 0.59
"Anthony Miller" "WR" 5.15 4.07 3.4 0 NA 4.61 4.95 4.4 4.32 4.18 4.35 4.07 4.63 4.34 4.83 4.64 4.24
"Anthony Sherman" "RB" 0.41 0.56 0.6 0.63 0.5 0.56 0.6 0.51 0.5 0.5 0.49 NA 0.5 0.48 0.58 0.48 0.53
"Antonio Brown" "WR" 12.94 14.65 15.35 15.87 15.59 14.56 NA 14.36 12.26 14.42 12.27 12.86 13.53 16.53 15.58 15.61 15.07
"Antonio Callaway" "WR" 4.39 4.32 6.27 6.42 6.8 7.5 8.51 7.98 8.95 9 NA 8.61 7.86 7.08 6.7 8.82 6.08
"Antonio Gates" "TE" 3.05 2.44 2.54 3.09 3.78 3.05 3.24 NA 2.62 3.58 2.75 2.77 2.89 2.91 3.44 2.35 2.67
"Antony Auclair" "TE" 0.62 0.53 0.66 0.69 NA 0.48 0.53 0.48 0.49 0.57 0.5 0.55 0.51 0.56 0.5 0.51 0.5
"Austin Carr" "WR" 4.3 4.06 2.13 2.18 1.24 NA 0.99 1.37 1.2 1.15 1.22 1.42 1.26 1.27 1.33 1.3 1.36
"Austin Ekeler" "RB" 5.93 5.43 5.26 6.53 7.42 6.06 6.09 NA 4.99 7.01 5.11 6.21 7.04 8.13 7.51 5.96 4.78
"Austin Hooper" "TE" 3.37 4.61 3.39 3.94 4.21 6.92 4.74 NA 3.8 5.33 6.14 5.36 4.43 5.72 4.36 4.38 6.62
"Austin Seferian-Jenkins" "TE" 4.33 4.71 4.98 3.83 3.56 3.84 4.4 3.89 NA 3.78 4.84 4.2 3.92 3.53 4.61 3.92 4.18
"Baker Mayfield" "QB" 2.19 1.78 0.88 18.36 13.22 15.47 17.95 14.91 17.18 16.13 NA 15.39 17.16 14.13 13.52 16.22 11.3
"Ben Braunecker" "TE" 0.59 0.59 0.42 0.61 NA 0.51 0.59 0.51 0.49 0.56 0.49 0.54 0.52 0.53 0.57 0.54 0.47
"Ben Roethlisberger" "QB" 16.58 18.92 21.35 19.29 22.82 20.68 NA 21.1 18.53 20.4 17.69 18.44 21.28 22.6 23.18 21.28 21.94
"Benjamin Watson" "TE" 4.43 5.18 4.84 5.88 5.16 NA 4.06 5.67 5.27 5.07 4.93 5.43 5.83 5.87 4.73 5.25 4.89
"Benny Cunningham" "RB" 1.06 1.03 1.2 0.52 NA 0.5 0.53 0.56 0.47 0.56 0.56 0.54 0.5 0.46 0.5 0.53 0.53
"Bilal Powell" "RB" 5.55 5.95 6.92 6.09 8.05 8.09 7.32 5.76 7.53 8.01 NA 8.1 7.61 7.46 8.17 7.96 7.5
"Blaine Gabbert" "QB" 0.4 15.24 9.72 0 0.34 0.59 0.74 NA 0.87 0.87 0.88 0.88 0.8 0.6 0.78 0.83 0.94
"Blake Bortles" "QB" 14.58 16.97 17.51 16.2 19.78 19.5 22.59 17.97 NA 19.56 19.79 19.35 20.92 18.82 18.61 19.34 21.14
"Blake Jarwin" "TE" 4.51 3.15 1.56 1.74 1.59 1.68 1.86 NA 1.81 1.48 1.35 1.95 1.39 1.53 1.51 1.75 1.52
"Brandin Cooks" "WR" 8.64 9.77 9.96 10.84 12.13 12.31 12.48 12.78 12.69 13.41 13.68 NA 12.2 12.11 12.23 12.3 13.08
"Brandon Bolden" "RB" 0.54 0.52 0.52 0.43 0.58 0.36 0.83 0.57 0.41 0.63 NA 0.56 0.55 0.71 0.44 0.41 0.52
"Brandon LaFell" "WR" 0 2.33 0.72 0 2.54 2.38 NA 3.08 2.94 2.58 2.18 2.16 2.62 2.33 2.45 2.64 2.56
"Brandon Marshall" "WR" 4.59 6.41 5.46 4.19 3.08 4.25 NA 4.51 3.18 2.99 4.65 2.46 4.6 3.12 4.41 4.62 2.55
"Brandon Weeden" "QB" 0.77 0.73 0.94 0.82 0.88 0.88 0.69 0.86 0.68 NA 0.81 0.86 0.79 0.89 0.71 0.69 0.73
"Brandon Wilds" "RB" NA 0.66 1.64 0.46 0.87 0.61 0.63 0.45 NA 0.56 0.52 0.51 0.6 0.54 0.48 0.55 0.58
"Brett Hundley" "QB" 0.64 0.62 1.01 0.88 1.04 1.2 NA 1.15 1.01 0.98 1.21 0.85 1.23 1.03 1.15 1.19 0.9
"Brian Hill" "RB" NA 0.51 1.51 0.94 0.78 0.61 0.6 NA 0.5 0.45 0.56 0.55 0.55 0.56 0.45 0.43 0.57
"Brian Hoyer" "QB" 0.78 0.58 0.73 0.99 0.99 1.13 0.78 0.98 1.01 0.91 NA 0.81 0.97 0.94 0.99 1.05 0.86
"Brian Quick" "WR" NA 0.81 0.77 NA 0.67 0.69 0.73 0.68 0.68 0.73 0.73 0.7 0.61 0.7 0.73 0.78 0.62
"Brock Osweiler" "QB" 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0
"Bruce Ellington" "WR" 3.18 2.71 3.1 0 0 0 0 0 0 NA 0 3.44 3.67 3.06 3.38 2.73 2.71
"Buddy Howell" "RB" NA NA NA 1.39 1.62 0.58 0.36 0.69 0.4 NA 0.58 0.57 0.49 0.76 0.48 0.44 0.38
"Byron Marshall" "WR" 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0.59
"C.J. Anderson" "RB" 5.1 5.74 5.37 NA 6.18 5.83 4.6 5.38 7.17 5.02 5.81 5.05 6.59 4.62 5.87 6.68 5.41
"C.J. Beathard" "QB" 0.67 0.9 0.86 14.05 12.92 13.75 11.76 12.2 14.93 15.88 NA 14.17 11.73 12.81 12.44 13.03 11.14
"C.J. Ham" "RB" 0.53 0.6 0.55 0.48 0.45 0.47 0.49 0.43 0.61 NA 0.46 0.45 0.4 0.4 0.41 0.56 0.49
"C.J. Prosise" "RB" 1.61 2.16 0 0 0.55 0.58 NA 0.69 0.65 0.52 0.69 0.55 0.72 0.54 0.68 0.64 0.52
"C.J. Uzomah" "TE" 0.5 0.33 0.36 0.56 2.44 2.82 3.03 2.35 NA 2.34 2.08 2.95 2.4 2.52 2.24 2.8 2.67
"Calvin Ridley" "WR" 4.15 4.23 3.09 6.83 7.75 7.78 7.35 NA 7.18 8.66 7.85 7.64 7.23 7.36 8.12 8.29 7.5
"Cam Newton" "QB" 19.87 18.22 20.18 NA 23.25 20.02 17.97 18.3 25.59 19.81 22.7 18.79 23.74 19.8 23.05 23.31 21.38
"Cameron Artis-Payne" "RB" 0 2 1.25 NA 1.24 1.42 1.01 1.24 1.69 0.98 1.11 1.01 1.57 0.99 1.15 1.38 1.09
"Cameron Brate" "TE" 4.81 2.42 2.43 3.89 NA 5.62 5.76 5.66 3.93 3.38 4.04 4.36 4.13 4.36 3.81 3.87 4.12
"Cameron Meredith" "WR" 0 0 1.13 2.75 3.34 NA 2.7 2.75 3.43 3.18 3.04 3.39 3.31 3.32 3.15 3.15 3.26
"Carlos Hyde" "RB" 8.59 10.03 11.24 11.7 10.39 14.08 12.25 13.84 14.07 14.75 NA 12.96 11.68 13.61 10.75 14.06 9.11
"Carson Wentz" "QB" 0 0 19.52 19.86 19.39 20.3 16.64 15.04 NA 22.25 20.38 21.74 20.15 20.83 19.33 26.02 18.99
"Case Keenum" "QB" 12.53 17.08 12.85 17.84 15.61 15.89 15.27 18.11 19.14 NA 16.46 17.38 16.3 17.07 17.45 17.2 17.54
"Cethan Carter" "TE" 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Chad Henne" "QB" 0.46 0.54 0.58 0.35 0.47 0.52 0.57 0.47 0.47 0.44 0.57 NA 0.54 0.43 0.59 0.46 0.57
"Chad Williams" "WR" 1.73 1.88 1.94 0.78 3.86 3.63 4.19 4.06 NA 3.62 4.26 2.72 4.12 4.88 4.59 2.97 3.86
"Charles Clay" "TE" 4.25 4.32 4.02 4.18 4.51 4.72 4.34 4.15 4.36 4.52 NA 4.24 3.98 4.79 4.21 3.93 4.19
"Charone Peake" "WR" 0.6 0.67 0.73 0 0.65 0.75 0.72 0.6 0.69 0.59 NA 0.69 0.78 0.57 0.72 0.75 0.66
"Chase Daniel" "QB" 0.75 0.76 0.79 0.91 NA 0.83 0.9 0.78 0.81 0.89 0.78 0.84 0.87 0.8 0.88 0.8 0.73
