"Player" "Pos" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17"
"A.J. Derby" "TE" 1.73 1.73 2.65 0 0 0 0 0 0 1.98 NA 0 1.7 1.43 1.58 1.69 1.63
"A.J. Green" "WR" 12.65 10.69 11.96 9.6 11.17 11.93 12.36 13.24 NA 0 0 0 4.68 9.86 10.22 9.21 8.93
"A.J. McCarron" "QB" 0.54 0.5 0.63 0.61 0.57 0.58 NA 0.83 0.72 0.15 0.13 0.13 0.16 0.14 0.16 0.13 0.15
"Aaron Jones" "RB" 0 0 5.42 5.58 8.76 7.16 NA 5.88 8.77 11.3 12.08 11.57 15.6 14.9 9.29 13.28 14.48
"Aaron Rodgers" "QB" 22.36 19.52 20.7 22.61 21.59 21.89 NA 23.08 23.17 23.58 20.8 22.62 22.55 25.22 20.38 20.77 26.39
"Adam Humphries" "WR" 2.14 2.32 2.2 3.92 NA 3.72 3.57 2.62 4 3.88 4.75 4.99 5.97 5.06 3.5 4.78 5.6
"Adam Shaheen" "TE" 0 0 0 0 NA 0 0 0.5 0.51 0.57 0.53 0 0.45 0.58 0.49 0.49 0.45
"Adam Thielen" "WR" 11.05 10.03 11.35 9.78 12.27 13.17 14.47 15.43 14.51 NA 12.08 13.32 13.8 13.34 15.55 13.96 12.91
"Adrian Peterson" "RB" 3.71 9.35 9.32 NA 9.69 11.34 11.45 11.6 14.21 12.78 10.33 11.47 13.34 14.3 11.45 12.43 14.54
"Alan Cross" "TE" 0.67 0.57 0.54 0.49 NA 1.06 0.44 0.57 0.58 0.46 0.46 1.1 0.56 0.45 0.33 0.4 0.46
"Aldrick Robinson" "WR" NA NA 0.5 0.43 2.13 0.51 0.54 0.79 4.6 NA 1.13 3.26 0.84 0.75 0.95 0.91 0.62
"Alex Armah" "RB" 0.69 0.61 0.63 NA 0.59 0.39 0.3 0.69 1.16 1.03 0.99 1.11 1.02 0.73 0.98 1.2 0.9
"Alex Collins" "RB" 10.28 8.1 9.93 9.97 7.62 5.99 10.35 10.49 9.04 NA 10.35 0 3.56 6.83 7.74 5.5 4.5
"Alex Erickson" "WR" 0.47 0.5 0.79 0.82 1.26 1.07 1.48 0.9 NA 1.6 0.52 0.52 0.68 0.22 0.27 0.23 0.24
"Alex Tanney" "QB" 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"Alfred Blue" "RB" 3.38 2.71 4.54 4.98 8.86 6.58 5.31 4.67 4.71 NA 5.08 4.16 3.68 3.97 4.34 3.96 4.56
"Alfred Morris" "RB" 5.23 7.48 8.35 6.96 6.2 6.73 3.74 5.54 5 4.69 NA 0 1.17 1.03 1.26 0.95 1.3
"Allen Hurns" "WR" 4.5 4.92 4.66 4.73 4.9 4.48 3.64 NA 2.44 1.98 3.61 3.36 2.08 2.04 2.51 3.43 2.49
"Allen Robinson" "WR" 8.56 8.46 8.4 7.7 NA 8.03 7.2 0 0 7.2 8.36 9.17 8.41 9.17 8.49 9.75 9.38
"Alshon Jeffery" "WR" 0 0 0 3.85 9.19 9.03 10.67 10.99 NA 10.41 10.33 9.18 8.39 7.54 8.62 7.61 8.08
"Alvin Kamara" "RB" 19.29 18.49 16.06 17.7 17.45 NA 13.68 14.82 18.52 17.89 19.44 18.78 16.97 20.28 19.36 17.72 20.9
"Amari Cooper" "WR" 8.35 8.45 8.25 10.1 9.01 7.5 NA NA 6.57 7.02 8.72 8.67 9.76 8.08 9.73 11.07 9.06
"Ameer Abdullah" "RB" 0 0 1.71 0 2.31 NA 1.6 1.63 0 NA 0.39 0.37 0.24 0.26 0.37 0.36 0.33
"Andre Holmes" "WR" 0.97 0.44 0.45 0.53 0.39 2.02 2.46 2.73 1.05 1.78 NA 2.71 2.79 2.53 2.85 2.09 2.87
"Andre Roberts" "WR" NA NA 0.43 0.26 0.27 0.24 0.58 2.16 0.72 1 NA 0.97 0.11 0.23 0.28 0.27 0.26
"Andrew Luck" "QB" 18.05 15.88 14.26 18.38 16.92 15.45 18.69 21.61 NA 16.15 17.64 20.7 20.01 19.49 20.37 23.42 20.84
"Andy Dalton" "QB" 18.67 12.73 13.15 18.63 18.71 17.1 19.76 21.6 NA 21.16 14.42 12.92 NA NA NA NA NA
"Andy Janovich" "RB" 0.84 0.85 1.25 1.01 1.34 1.31 1.49 1.16 1.28 NA 1.05 1.23 1.31 1.55 1 1.55 1.09
"Andy Jones" "WR" 0.51 0.54 0.47 0.56 0.6 NA 0.68 0.7 0.58 0.57 0.75 1.21 0.14 0.14 0.14 0.13 0.12
"Anthony Firkser" "TE" NA NA NA NA NA NA 0.65 NA 0.78 0.88 0.88 0.87 0.97 0.82 0.96 0.82 1.03
"Anthony Miller" "WR" 5.15 4.07 3.4 0 NA 4.19 4.04 6.34 5.6 5.72 5.21 6.41 5.42 5.5 5.64 5.05 5.56
"Anthony Sherman" "RB" 0.41 0.56 0.6 0.63 0.5 0.47 0.45 0.44 0.44 0.53 0.42 NA 0.42 0.42 0.53 0.47 0.45
"Antonio Brown" "WR" 12.94 14.65 15.35 15.87 15.59 14.88 NA 14.53 12.15 13.91 12.81 12.69 13.2 13.13 13.74 14.12 14.15
"Antonio Callaway" "WR" 4.39 4.32 6.27 6.42 6.8 6.97 6.24 4.35 4.16 5.27 NA 4.78 5.17 7.73 4.88 6.09 6.1
"Antonio Gates" "TE" 3.05 2.44 2.54 3.09 3.78 2.57 2.46 NA 1.77 2.81 3 3.01 2.68 3.08 2.77 3.22 2.75
"Antony Auclair" "TE" 0.62 0.53 0.66 0.69 NA 1.05 0.45 0.37 0.29 0.21 0.31 0.64 0.29 0.31 0.33 0.38 0.28
