"Week" "Player" "range" "pts_all" "sacks" "INT" "fum" "SAF" "TD" "rnk" "max" "min" "std" "Var" "pts_all_grp" "pts_all_score" "yrds_est" "yrds_all_grp" "yrds_all_score" "Full_Proj"
"13" "Broncos D/ST" "3.58-18.84" 18.1 2.46 1.22 1.04 0.06 0.38 "#5" 18.84 3.58 7.63 58.2169 5 0 324.12 4 0 9.38
"1" "Seahawks D/ST" "4.13-16.29" 16.34 3.02 1.16 0.72 0.02 0.26 "#12" 16.29 4.13 6.08 36.9664 4 1 314.968 4 0 9.38
"13" "Bills D/ST" "3.89-18.19" 18.3 2.72 1.3 0.88 0.06 0.36 "#24" 18.19 3.89 7.15 51.1225 5 0 325.16 4 0 9.36
"17" "Bills D/ST" "3.89-18.19" 18.3 2.72 1.3 0.88 0.06 0.36 "#24" 18.19 3.89 7.15 51.1225 5 0 325.16 4 0 9.36
"16" "Broncos D/ST" "3.95-16.79" 16.76 2.5 1 0.98 0.1 0.28 "#20" 16.79 3.95 6.42 41.2164 4 1 317.152 4 0 9.34
"6" "Rams D/ST" "2.95-18.09" 16.23 2.54 1.3 0.64 0.06 0.3 "#12" 18.09 2.95 7.57 57.3049 4 1 314.396 4 0 9.34
"5" "Panthers D/ST" "4.29-15.45" 17.22 2.8 1.3 0.6 0.06 0.26 "#29" 15.45 4.29 5.58 31.1364 4 1 319.544 4 0 9.28
"11" "Vikings D/ST" "3.93-17.47" 14.45 2.65 1.42 0.68 0.1 0.2 "#19" 17.47 3.93 6.77 45.8329 4 1 305.14 4 0 9.25
"17" "Vikings D/ST" "3.93-17.47" 14.45 2.65 1.42 0.68 0.1 0.2 "#19" 17.47 3.93 6.77 45.8329 4 1 305.14 4 0 9.25
"4" "Jaguars D/ST" "4.42-16.62" 14.94 2.71 1.34 0.62 0.02 0.26 "#22" 16.62 4.42 6.1 37.21 4 1 307.688 4 0 9.23
"13" "Packers D/ST" "3.47-18.23" 17.54 2.6 1.12 1.02 0.02 0.38 "#31" 18.23 3.47 7.38 54.4644 5 0 321.208 4 0 9.2
"12" "Ravens D/ST" "3.56-16.42" 17.4 2.78 1.1 0.86 0.08 0.22 "#20" 16.42 3.56 6.43 41.3449 4 1 320.48 4 0 9.18
"12" "Vikings D/ST" "3.13-16.77" 17.28 2.46 1.36 0.72 0.02 0.24 "#18" 16.77 3.13 6.82 46.5124 4 1 319.856 4 0 9.1
"14" "Rams D/ST" "2.24-17.54" 17.29 2.4 1.3 0.64 0.06 0.28 "#19" 17.54 2.24 7.65 58.5225 4 1 319.908 4 0 9.08
"14" "Chargers D/ST" "4.49-14.75" 17.44 2.78 1.2 0.76 0.02 0.22 "#5" 14.75 4.49 5.13 26.3169 4 1 320.688 4 0 9.06
"10" "Jets D/ST" "3.47-16.07" 17.21 3.14 0.98 0.9 0.04 0.18 "#32" 16.07 3.47 6.3 39.69 4 1 319.492 4 0 9.06
"14" "Jets D/ST" "3.47-16.07" 17.21 3.14 0.98 0.9 0.04 0.18 "#32" 16.07 3.47 6.3 39.69 4 1 319.492 4 0 9.06
"1" "Redskins D/ST" "4.97-16.75" 17.6 2.79 1.46 0.53 0.02 0.37 "#31" 16.75 4.97 5.89 34.6921 5 0 321.52 4 0 9.03
"9" "Chargers D/ST" "4.32-16.24" 18.84 3 1.28 0.86 0.02 0.28 "#27" 16.24 4.32 5.96 35.5216 5 0 327.968 4 0 9
"9" "Jets D/ST" "3.85-16.27" 16.35 2.54 1.1 0.72 0.06 0.28 "#24" 16.27 3.85 6.21 38.5641 4 1 315.02 4 0 8.98
"4" "Cardinals D/ST" "4.28-15.28" 17.47 2.46 1.09 0.9 0.04 0.24 "#27" 15.28 4.28 5.5 30.25 4 1 320.844 4 0 8.96
"17" "Cardinals D/ST" "4.28-15.28" 17.47 2.46 1.09 0.9 0.04 0.24 "#27" 15.28 4.28 5.5 30.25 4 1 320.844 4 0 8.96
"13" "Rams D/ST" "3.62-17.26" 18.21 2.86 1.24 0.86 0.04 0.3 "#30" 17.26 3.62 6.82 46.5124 5 0 324.692 4 0 8.94
