"Player" "Pos" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17"
"Austin Ekeler" "RB" 5.93 5.43 5.26 6.11 6.12 5.33 5.96 NA 5.42 5.67 6.21 6.4 5.93 6.75 5.26 5.79 5.75
"Austin Hooper" "TE" 3.37 4.61 3.39 5.5 3.94 4.84 3.95 NA 4.26 4.56 3.87 3.29 4.64 4.28 5.76 5.41 4.65
"Austin Seferian-Jenkins" "TE" 4.33 4.71 4.98 3.56 4.14 4.23 5.1 4.24 NA 4.07 3.88 3.83 4.23 4.76 3.59 3.91 4.89
"Baker Mayfield" "QB" 2.19 1.78 0.88 0.88 0.8 0.9 0.87 0.82 0.84 0.91 NA 0.93 0.9 0.85 0.76 0.98 0.76
"Ben Braunecker" "TE" 0.59 0.59 0.42 0.61 NA 0.41 0.56 0.43 0.5 0.53 0.43 0.51 0.5 0.47 0.65 0.6 0.42
"Ben Roethlisberger" "QB" 16.58 18.92 21.35 17.8 21.84 20.09 NA 22.8 16.82 21.26 16.63 18.18 20.1 20.97 22.23 20.38 21.31
"Benjamin Watson" "TE" 4.43 5.18 4.84 4.83 4.93 NA 4.6 4.51 3.98 4.24 5.04 4.98 4.83 5.15 5.09 4.57 5.27
"Benny Cunningham" "RB" 1.06 1.03 1.2 0.55 NA 0.5 0.56 0.54 0.59 0.64 0.4 0.61 0.6 0.55 0.53 0.52 0.39
"Bilal Powell" "RB" 5.55 5.95 6.92 6.05 5.49 9 5.07 6.15 6.97 8.24 NA 9.01 6.54 7.62 7.44 7.5 8.44
"Blaine Gabbert" "QB" 0.4 15.24 9.72 0.54 0.84 0.64 0.71 NA 0.92 0.96 0.99 1.03 0.97 0.56 1.01 0.82 1.05
"Blake Bortles" "QB" 14.58 16.97 17.51 16.69 17.63 17.59 19 15.77 NA 17.77 17.84 17.07 18.96 16.5 16.53 17.29 17.86
"Blake Jarwin" "TE" 4.51 3.15 1.56 1.64 1.97 1.82 1.6 NA 2.03 1.66 1.57 1.66 1.54 1.72 2.14 2.28 1.55
"Brandin Cooks" "WR" 8.64 9.77 9.96 10.33 10.35 9.97 9.57 10.63 8.96 10.77 9.61 NA 9.21 10.75 10.51 11.17 9.81
"Brandon Bolden" "RB" 0.54 0.52 0.52 0.41 0.3 0.27 0.38 0.47 0.26 0.47 NA 0.47 0.48 0.44 0.3 0.35 0.45
"Brandon LaFell" "WR" 0 2.33 0.72 0.83 0.59 0.68 NA 0.75 0.81 0.62 0.72 0.5 0.81 0.57 0.71 0.64 0.79
