"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"1" "Josh Lambo" "4.56-13.28" 2.02 2.18 2.01 2.03 8.92 "#14" 0.02 0.16 8.42 13.28 4.56 4.36 19.0096
"3" "Graham Gano" "4.57-13.75" 1.9 2.15 2.68 2.7 9.16 "#11" 0.02 0.25 8.39 13.75 4.57 4.59 21.0681
"1" "Stephen Gostkowski" "5.52-13.12" 1.8 2.08 3.2 3.31 9.32 "#20" 0.11 0.28 8.37 13.12 5.52 3.8 14.44
"15" "Harrison Butker" "4.46-14.18" 1.87 2.16 2.71 2.79 9.32 "#22" 0.0800000000000001 0.29 8.37 14.18 4.46 4.86 23.6196
"10" "Stephen Gostkowski" "4.93-13.19" 1.84 2.07 2.69 2.72 9.06 "#17" 0.0300000000000002 0.23 8.34 13.19 4.93 4.13 17.0569
"17" "Wil Lutz" "4.23-13.67" 1.78 1.96 2.88 2.95 8.95 "#21" 0.0700000000000003 0.18 8.34 13.67 4.23 4.72 22.2784
"16" "Stephen Gostkowski" "4.43-13.73" 1.75 1.97 3 3.09 9.08 "#28" 0.0899999999999999 0.22 8.33 13.73 4.43 4.65 21.6225
"3" "Justin Tucker" "3.89-14.57" 2.02 2.31 1.78 1.83 9.23 "#16" 0.05 0.29 8.31 14.57 3.89 5.34 28.5156
"3" "Harrison Butker" "5.44-13.06" 1.94 2.26 2.87 2.87 9.25 "#19" 0 0.32 8.29 13.06 5.44 3.81 14.5161
"3" "Matt Bryant" "4.34-14.30" 1.8 2.13 2.85 2.89 9.32 "#31" 0.04 0.33 8.29 14.3 4.34 4.98 24.8004
"4" "Wil Lutz" "4.80-13.22" 1.73 1.95 3.21 3.28 9.01 "#14" 0.0699999999999998 0.22 8.28 13.22 4.8 4.21 17.7241
"1" "Graham Gano" "4.23-13.69" 1.89 2.1 2.42 2.48 8.96 "#9" 0.0600000000000001 0.21 8.27 13.69 4.23 4.73 22.3729
"4" "Caleb Sturgis" "4.75-12.49" 1.59 1.71 3.33 3.33 8.62 "#19" 0 0.12 8.26 12.49 4.75 3.87 14.9769
"16" "Wil Lutz" "4.55-13.35" 1.69 1.89 3.27 3.36 8.95 "#24" 0.0899999999999999 0.2 8.26 13.35 4.55 4.4 19.36
"15" "Greg Zuerlein" "4.76-13.60" 1.81 2.12 2.61 2.61 9.18 "#15" 0 0.31 8.25 13.6 4.76 4.42 19.5364
"3" "Jake Elliott" "4.27-13.03" 1.59 1.71 3.23 3.27 8.65 "#13" 0.04 0.12 8.25 13.03 4.27 4.38 19.1844
"2" "Cody Parkey" "4.70-13.40" 2.02 2.29 1.73 1.73 9.05 "#12" 0 0.27 8.24 13.4 4.7 4.35 18.9225
"6" "Chris Boswell" "5.18-12.38" 1.75 1.92 2.84 2.88 8.78 "#11" 0.04 0.17 8.23 12.38 5.18 3.6 12.96
"7" "Stephen Gostkowski" "4.51-13.69" 1.87 2.14 2.45 2.51 9.1 "#6" 0.0599999999999996 0.27 8.23 13.69 4.51 4.59 21.0681
"9" "Greg Zuerlein" "4.36-12.98" 1.52 1.65 3.09 3.15 8.67 "#31" 0.0600000000000001 0.13 8.22 12.98 4.36 4.31 18.5761
"7" "Justin Tucker" "3.28-14.36" 1.87 2.05 2.35 2.41 8.82 "#31" 0.0600000000000001 0.18 8.22 14.36 3.28 5.54 30.6916
"9" "Robbie Gould" "5.34-12.94" 1.76 2.07 2.92 2.92 9.14 "#29" 0 0.31 8.21 12.94 5.34 3.8 14.44
"9" "Harrison Butker" "4.85-13.05" 1.76 2 2.82 2.84 8.95 "#5" 0.02 0.24 8.21 13.05 4.85 4.1 16.81
"15" "Graham Gano" "4.27-13.45" 1.81 2.03 2.5 2.5 8.86 "#31" 0 0.22 8.2 13.45 4.27 4.59 21.0681
"13" "Matt Bryant" "5.11-13.07" 1.89 2.18 2.28 2.3 9.09 "#4" 0.02 0.29 8.2 13.07 5.11 3.98 15.8404
"12" "Jake Elliott" "5.20-12.52" 1.75 1.97 2.96 2.98 8.86 "#14" 0.02 0.22 8.18 12.52 5.2 3.66 13.3956
"7" "Stephen Hauschka" "4.58-13.10" 1.92 2.12 2.13 2.2 8.84 "#13" 0.0700000000000003 0.2 8.17 13.1 4.58 4.26 18.1476
"6" "Caleb Sturgis" "4.86-12.36" 1.56 1.71 3.32 3.32 8.61 "#5" 0 0.15 8.16 12.36 4.86 3.75 14.0625
"17" "Greg Zuerlein" "5.06-12.56" 1.62 1.81 3.33 3.41 8.81 "#19" 0.0800000000000001 0.19 8.16 12.56 5.06 3.75 14.0625
"4" "Matt Bryant" "4.27-13.57" 1.73 1.97 2.72 2.76 8.92 "#11" 0.0399999999999996 0.24 8.16 13.57 4.27 4.65 21.6225
"10" "Caleb Sturgis" "5.10-12.10" 1.52 1.67 3.5 3.5 8.6 "#29" 0 0.15 8.15 12.1 5.1 3.5 12.25
"8" "Greg Zuerlein" "4.83-12.71" 1.62 1.8 3.23 3.31 8.77 "#23" 0.0800000000000001 0.18 8.15 12.71 4.83 3.94 15.5236
"9" "Justin Tucker" "3.29-14.39" 1.79 2 2.65 2.71 8.84 "#24" 0.0600000000000001 0.21 8.15 14.39 3.29 5.55 30.8025
"5" "Stephen Gostkowski" "4.58-12.72" 1.57 1.73 3.36 3.38 8.65 "#13" 0.02 0.16 8.15 12.72 4.58 4.07 16.5649
"9" "Stephen Gostkowski" "4.54-13.36" 1.71 1.97 3.09 3.11 8.95 "#23" 0.02 0.26 8.15 13.36 4.54 4.41 19.4481
"2" "Jake Elliott" "4.53-13.19" 1.81 2.03 2.75 2.8 8.86 "#27" 0.0499999999999998 0.22 8.15 13.19 4.53 4.33 18.7489
"15" "Randy Bullock" "3.97-13.91" 1.77 2.03 2.65 2.67 8.94 "#29" 0.02 0.26 8.14 13.91 3.97 4.97 24.7009
"2" "Chris Boswell" "5.20-13.44" 1.91 2.27 2.63 2.75 9.32 "#32" 0.12 0.36 8.12 13.44 5.2 4.12 16.9744
"8" "Josh Lambo" "3.95-13.59" 1.91 2.12 2.02 2.04 8.77 "#15" 0.02 0.21 8.12 13.59 3.95 4.82 23.2324
"5" "Wil Lutz" "4.17-13.57" 1.76 1.98 2.86 2.95 8.87 "#10" 0.0900000000000003 0.22 8.12 13.57 4.17 4.7 22.09
"16" "Graham Gano" "4.53-13.13" 1.79 2.03 2.57 2.57 8.83 "#26" 0 0.24 8.11 13.13 4.53 4.3 18.49
